gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Action,Action,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Asset,Asset,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Constraint,Constraint,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Duty,Duty,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
LogicalConstraint,LogicalConstraint,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Operator,Operator,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Party,Party,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Permission,Permission,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Policy,Policy,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Prohibition,Prohibition,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Rule,Rule,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ConflictTerm,Conflict,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.7576; sequence_match=0.8000,False,0.8303,True,selected
Constraint,LogicalConstraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7294; levenshtein=0.5882; semantic=0.8909; sequence_match=0.7407,False,0.787,False,gold already mapped to 'Constraint'
LogicalConstraint,Constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7294; levenshtein=0.5882; semantic=0.8909; sequence_match=0.7407,False,0.787,False,gold already mapped to 'LogicalConstraint'
Rule,Role,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8500; levenshtein=0.7500; semantic=0.6705; sequence_match=0.7500,False,0.7833,False,gold already mapped to 'Rule'
AssetScope,Asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7256; sequence_match=0.6667,False,0.7641,False,pred already taken by 'Asset' (higher averaged score)
Constraint,Container,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8691; levenshtein=0.6000; semantic=0.6342; sequence_match=0.7368,False,0.7467,False,gold already mapped to 'Constraint'
AssetCollection,Asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8667; levenshtein=0.3333; semantic=0.8057; sequence_match=0.5000,False,0.7241,False,pred already taken by 'Asset' (higher averaged score)
Permission,ExclusivePermission,semantic+sequence_match+levenshtein,jaro_winkler=0.4544; levenshtein=0.5263; semantic=0.8636; sequence_match=0.6897,False,0.6932,False,gold already mapped to 'Permission'
Constraint,Condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7900; levenshtein=0.4000; semantic=0.6493; sequence_match=0.6316,False,0.6903,False,gold already mapped to 'Constraint'
Action,Function,sequence_match+jaro_winkler+semantic,jaro_winkler=0.6861; levenshtein=0.6250; semantic=0.6482; sequence_match=0.7143,False,0.6829,False,gold already mapped to 'Action'
Permission,Prohibition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7436; levenshtein=0.4545; semantic=0.6710; sequence_match=0.5714,False,0.662,False,gold already mapped to 'Permission'
Prohibition,Permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7436; levenshtein=0.4545; semantic=0.6710; sequence_match=0.5714,False,0.662,False,gold already mapped to 'Prohibition'
Action,Condition,sequence_match+jaro_winkler+semantic,jaro_winkler=0.6630; levenshtein=0.4444; semantic=0.5670; sequence_match=0.6667,False,0.6322,False,gold already mapped to 'Action'
ConflictTerm,Container,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8176; levenshtein=0.5000; semantic=0.4763; sequence_match=0.5714,False,0.6297,False,gold already mapped to 'Conflict'
LeftOperand,Operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5985; levenshtein=0.3636; semantic=0.7604; sequence_match=0.5263,False,0.6284,False,pred already taken by 'Operator' (higher averaged score)
Policy,Conflict,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7222; levenshtein=0.5000; semantic=0.5823; sequence_match=0.5714,False,0.6253,False,gold already mapped to 'Policy'
Prohibition,Condition,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6818; levenshtein=0.5455; semantic=0.5094; sequence_match=0.6000,False,0.6091,False,gold already mapped to 'Prohibition'
Operator,OR,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7750; levenshtein=0.2500; semantic=0.6029; sequence_match=0.4000,False,0.5926,False,top-3 avg score 0.5926 < final_threshold 0.6
Constraint,Conflict,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6417; levenshtein=0.5000; semantic=0.6055; sequence_match=0.4444,False,0.5824,False,top-3 avg score 0.5824 < final_threshold 0.6
Constraint,Consequence,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6515; levenshtein=0.4545; semantic=0.5997; sequence_match=0.4762,False,0.5758,False,top-3 avg score 0.5758 < final_threshold 0.6
Policy,Sequencing Policy,semantic+sequence_match+levenshtein,jaro_winkler=0.3194; levenshtein=0.3750; semantic=0.8020; sequence_match=0.5455,False,0.5741,False,top-3 avg score 0.5741 < final_threshold 0.6
Operator,Party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6833; levenshtein=0.3750; semantic=0.5556; sequence_match=0.4615,False,0.5668,False,top-3 avg score 0.5668 < final_threshold 0.6
Party,Operator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6833; levenshtein=0.3750; semantic=0.5556; sequence_match=0.4615,False,0.5668,False,top-3 avg score 0.5668 < final_threshold 0.6
Duty,Party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.4000; semantic=0.6003; sequence_match=0.4444,False,0.5594,False,top-3 avg score 0.5594 < final_threshold 0.6
Party,Duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.4000; semantic=0.6003; sequence_match=0.4444,False,0.5594,False,top-3 avg score 0.5594 < final_threshold 0.6
Operator,Permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.3000; semantic=0.5998; sequence_match=0.4444,False,0.5592,False,top-3 avg score 0.5592 < final_threshold 0.6
Permission,Operator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.3000; semantic=0.5998; sequence_match=0.4444,False,0.5592,False,top-3 avg score 0.5592 < final_threshold 0.6
LogicalConstraint,Container,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5621; levenshtein=0.3529; semantic=0.5756; sequence_match=0.5385,False,0.5587,False,top-3 avg score 0.5587 < final_threshold 0.6
Constraint,OR,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7333; levenshtein=0.2000; semantic=0.5978; sequence_match=0.3333,False,0.5548,False,top-3 avg score 0.5548 < final_threshold 0.6
LogicalConstraint,Condition,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5870; levenshtein=0.2353; semantic=0.6157; sequence_match=0.4615,False,0.5547,False,top-3 avg score 0.5547 < final_threshold 0.6
Asset,Aggregation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6242; levenshtein=0.2727; semantic=0.6509; sequence_match=0.3750,False,0.55,False,top-3 avg score 0.5500 < final_threshold 0.6
AssetCollection,Aggregation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5929; levenshtein=0.3333; semantic=0.5944; sequence_match=0.4615,False,0.5496,False,top-3 avg score 0.5496 < final_threshold 0.6
Operator,Aggregation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6265; levenshtein=0.3636; semantic=0.5942; sequence_match=0.4211,False,0.5473,False,top-3 avg score 0.5473 < final_threshold 0.6
Permission,Condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6148; levenshtein=0.4000; semantic=0.6010; sequence_match=0.4211,False,0.5456,False,top-3 avg score 0.5456 < final_threshold 0.6
ConflictTerm,Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6659; levenshtein=0.2500; semantic=0.5112; sequence_match=0.4545,False,0.5439,False,top-3 avg score 0.5439 < final_threshold 0.6
ConflictTerm,Condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6574; levenshtein=0.4167; semantic=0.4980; sequence_match=0.4762,False,0.5439,False,top-3 avg score 0.5439 < final_threshold 0.6
AssetCollection,Action,sequence_match+jaro_winkler+semantic,jaro_winkler=0.5611; levenshtein=0.4000; semantic=0.4985; sequence_match=0.5714,False,0.5437,False,top-3 avg score 0.5437 < final_threshold 0.6
AssetCollection,Condition,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6333; levenshtein=0.4000; semantic=0.4965; sequence_match=0.5000,False,0.5433,False,top-3 avg score 0.5433 < final_threshold 0.6
Action,Container,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6630; levenshtein=0.2222; semantic=0.5610; sequence_match=0.4000,False,0.5413,False,top-3 avg score 0.5413 < final_threshold 0.6
Permission,Inheritance,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5848; levenshtein=0.1818; semantic=0.6546; sequence_match=0.3810,False,0.5401,False,top-3 avg score 0.5401 < final_threshold 0.6
LeftOperand,Function,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.1818; semantic=0.5688; sequence_match=0.4211,False,0.537,False,top-3 avg score 0.5370 < final_threshold 0.6
Operator,XOR,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.2500; semantic=0.6021; sequence_match=0.3636,False,0.5349,False,top-3 avg score 0.5349 < final_threshold 0.6
Action,Permission,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6000; levenshtein=0.3000; semantic=0.6237; sequence_match=0.3750,False,0.5329,False,top-3 avg score 0.5329 < final_threshold 0.6
Permission,Action,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6000; levenshtein=0.3000; semantic=0.6237; sequence_match=0.3750,False,0.5329,False,top-3 avg score 0.5329 < final_threshold 0.6
Action,Aggregation,sequence_match+semantic+levenshtein,jaro_winkler=0.4192; levenshtein=0.4545; semantic=0.5552; sequence_match=0.5882,False,0.5327,False,top-3 avg score 0.5327 < final_threshold 0.6
Action,Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6444; levenshtein=0.2000; semantic=0.5756; sequence_match=0.3750,False,0.5317,False,top-3 avg score 0.5317 < final_threshold 0.6
Constraint,Action,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6444; levenshtein=0.2000; semantic=0.5756; sequence_match=0.3750,False,0.5317,False,top-3 avg score 0.5317 < final_threshold 0.6
Constraint,TransferRight,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6509; levenshtein=0.3846; semantic=0.5063; sequence_match=0.4348,False,0.5307,False,top-3 avg score 0.5307 < final_threshold 0.6
Constraint,Operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5500; levenshtein=0.3000; semantic=0.5972; sequence_match=0.4444,False,0.5305,False,top-3 avg score 0.5305 < final_threshold 0.6
Operator,Constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5500; levenshtein=0.3000; semantic=0.5972; sequence_match=0.4444,False,0.5305,False,top-3 avg score 0.5305 < final_threshold 0.6
Rule,Remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.5670; sequence_match=0.4000,False,0.526,False,top-3 avg score 0.5260 < final_threshold 0.6
Rule,OR,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5833; levenshtein=0.0000; semantic=0.6606; sequence_match=0.3333,False,0.5258,False,top-3 avg score 0.5258 < final_threshold 0.6
Constraint,Function,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6417; levenshtein=0.3000; semantic=0.6010; sequence_match=0.3333,False,0.5253,False,top-3 avg score 0.5253 < final_threshold 0.6
Policy,Role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6111; levenshtein=0.3333; semantic=0.5624; sequence_match=0.4000,False,0.5245,False,top-3 avg score 0.5245 < final_threshold 0.6
Rule,Trigger,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.2857; semantic=0.6138; sequence_match=0.3636,False,0.5242,False,top-3 avg score 0.5242 < final_threshold 0.6
Rule,Requirement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5631; levenshtein=0.2727; semantic=0.6027; sequence_match=0.4000,False,0.522,False,top-3 avg score 0.5220 < final_threshold 0.6
LeftOperand,Constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5848; levenshtein=0.1818; semantic=0.5976; sequence_match=0.3810,False,0.5211,False,top-3 avg score 0.5211 < final_threshold 0.6
Prohibition,Inheritance,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6414; levenshtein=0.1818; semantic=0.5574; sequence_match=0.3636,False,0.5208,False,top-3 avg score 0.5208 < final_threshold 0.6
Operator,NOT,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.1250; semantic=0.5572; sequence_match=0.3636,False,0.5199,False,top-3 avg score 0.5199 < final_threshold 0.6
Operator,Role,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5972; levenshtein=0.1250; semantic=0.6263; sequence_match=0.3333,False,0.5189,False,top-3 avg score 0.5189 < final_threshold 0.6
