prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,lives in,lives in,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,plays game,plays game,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has game genre,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9083; levenshtein=0.6667; semantic=0.8370; sequence_match=0.8000,False,0.8484,True,selected
ObjectProperty,has playing area,game has playing area,semantic+sequence_match+levenshtein,jaro_winkler=0.7593; levenshtein=0.7778; semantic=0.8818; sequence_match=0.8750,False,0.8449,True,selected
ObjectProperty,has achievement,game has achievement,sequence_match+semantic+jaro_winkler,jaro_winkler=0.8069; levenshtein=0.7778; semantic=0.8383; sequence_match=0.8750,False,0.8401,True,selected
ObjectProperty,has item,game has item,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7359; levenshtein=0.6364; semantic=0.8320; sequence_match=0.7778,False,0.7819,True,selected
ObjectProperty,owns achievement,player has achievement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6611; levenshtein=0.6000; semantic=0.8081; sequence_match=0.6857,False,0.7183,True,selected
ObjectProperty,has achievement,player has achievement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7810; levenshtein=0.7000; semantic=0.8490; sequence_match=0.8235,False,0.8178,False,gold already mapped to 'game has achievement'
ObjectProperty,has achievement,game has achievement type,sequence_match+semantic+jaro_winkler,jaro_winkler=0.7597; levenshtein=0.6364; semantic=0.7716; sequence_match=0.7778,False,0.7697,False,gold already mapped to 'game has achievement'
ObjectProperty,is achievement in game,game has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7192; levenshtein=0.3684; semantic=0.8788; sequence_match=0.6486,False,0.7489,False,pred already taken by 'has achievement'
ObjectProperty,has item,has type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8667; levenshtein=0.4286; semantic=0.6372; sequence_match=0.7143,False,0.7394,False,gold already mapped to 'game has item'
ObjectProperty,owns achievement,game has achievement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6833; levenshtein=0.6667; semantic=0.7882; sequence_match=0.7273,False,0.7329,False,pred already taken by 'has achievement'
ObjectProperty,plays game,last played game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7328; levenshtein=0.5714; semantic=0.6996; sequence_match=0.6957,False,0.7094,False,gold already mapped to 'plays game'
