role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
class,algorithm,algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,software,software,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,web service,webservice,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9795; sequence_match=1.0000,True,1.0000,True,selected
class,task,task,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,format,format,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,data,data,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,version,version,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,platform,platform,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
class,open source software license,opensourcesoftware,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9440; levenshtein=0.7200; semantic=0.7511; sequence_match=0.8372,False,0.8441,True,selected
class,software developer role,softwaretool,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8699; levenshtein=0.5238; semantic=0.6627; sequence_match=0.6667,False,0.7331,True,selected
class,data item,dataexport,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8367; levenshtein=0.4000; semantic=0.6426; sequence_match=0.5556,False,0.6783,True,selected
class,cel ascii format,dataformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7333; levenshtein=0.5000; semantic=0.7022; sequence_match=0.5833,False,0.6729,True,selected
class,cel binary format,openformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6944; levenshtein=0.4667; semantic=0.6464; sequence_match=0.6400,False,0.6603,True,selected
class,software,softwaretool,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8891; sequence_match=0.8000,False,0.8741,False,gold already mapped to 'software'
class,software,softwaretype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8097; sequence_match=0.8000,False,0.8477,False,gold already mapped to 'software'
class,format,openformat,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8111; levenshtein=0.6000; semantic=0.8196; sequence_match=0.7500,False,0.7936,False,gold already mapped to 'format'
class,web service,service,sequence_match+semantic+jaro_winkler,jaro_winkler=0.7571; levenshtein=0.7000; semantic=0.7658; sequence_match=0.8235,False,0.7822,False,gold already mapped to 'webservice'
class,data item,data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7779; sequence_match=0.6667,False,0.7815,False,pred already taken by 'data' (higher averaged score)
class,format,dataformat,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7000; levenshtein=0.6000; semantic=0.8941; sequence_match=0.7500,False,0.7814,False,gold already mapped to 'format'
class,algorithm,namedalgorithm,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7328; levenshtein=0.6429; semantic=0.8002; sequence_match=0.7826,False,0.7719,False,gold already mapped to 'algorithm'
class,data,dataexport,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8800; levenshtein=0.4000; semantic=0.7683; sequence_match=0.5714,False,0.7399,False,gold already mapped to 'data'
