id,source,term_type,axiom_type,term,dl,status,note
AX1-gold,gold,Class,SubClassOf,CarnivorousPlant,CarnivorousPlant ⊑ plant,Skip,subject 'CarnivorousPlant' not in alignment table
AX1-pred,pred,-,-,-,(subject not in alignment table),-,-
AX2-gold,gold,Class,SubClassOf,CarnivorousPlant,CarnivorousPlant ⊑ ∃eats.animal,Skip,subject 'CarnivorousPlant' not in alignment table
AX2-pred,pred,-,-,-,(subject not in alignment table),-,-
AX3-gold,gold,Class,DisjointClasses,Omnivore,"DisjointClasses(Omnivore, carnivore)",FN,pred has no DisjointClasses axiom on 'Omnivore'
AX3-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX4-gold,gold,Class,DisjointClasses,Omnivore,"DisjointClasses(Omnivore, herbivore)",FN,pred has no DisjointClasses axiom on 'Omnivore'
AX4-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX5-gold,gold,Class,EquivalentClasses,Omnivore,Omnivore ≡ (∃eats.animal ⊓ ∃eats.plant ⊓ ∃eats.(∃is-part-of.animal ⊔ ∃is-part-of.plant)),FN,pred has no EquivalentClasses axiom on 'Omnivore'
AX5-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX6-gold,gold,Class,SubClassOf,Omnivore,Omnivore ⊑ animal,FN,pred has no SubClassOf axiom on 'Omnivore'
AX6-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX7-gold,gold,Class,SubClassOf,PlantParts,PlantParts ⊑ ∃is-proper-part-of.plant,Skip,subject 'PlantParts' not in alignment table
AX7-pred,pred,-,-,-,(subject not in alignment table),-,-
AX8-gold,gold,Class,DisjointClasses,animal,"DisjointClasses(animal, plant)",TP,matched pred AX2
AX8-pred,pred,Class,DisjointClasses,Animal,"DisjointClasses(Animal, Plant)",-,-
AX9-gold,gold,Class,DisjointClasses,carnivore,"DisjointClasses(carnivore, herbivore)",TP,matched pred AX4
AX9-pred,pred,Class,DisjointClasses,Carnivore,"DisjointClasses(Carnivore, Herbivore)",-,-
AX10-gold,gold,Class,EquivalentClasses,carnivore,carnivore ≡ (∀eats.animal ⊔ ∀eats.∃is-part-of.animal),FN,pred has no EquivalentClasses axiom on 'Carnivore'
AX10-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX11-gold,gold,Class,SubClassOf,carnivore,carnivore ⊑ animal,FN,pred has no SubClassOf axiom on 'Carnivore'
AX11-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX12-gold,gold,Class,EquivalentClasses,herbivore,herbivore ≡ (∀eats.plant ⊔ ∀eats.∃is-part-of.plant),FN,pred has no EquivalentClasses axiom on 'Herbivore'
AX12-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX13-gold,gold,Class,SubClassOf,herbivore,herbivore ⊑ animal,FN,pred has no SubClassOf axiom on 'Herbivore'
AX13-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX14-gold,gold,Class,SubClassOf,lion,lion ⊑ animal,Skip,subject 'lion' not in alignment table
AX14-pred,pred,-,-,-,(subject not in alignment table),-,-
AX15-gold,gold,Class,SubClassOf,lion,lion ⊑ ∀eats.herbivore,Skip,subject 'lion' not in alignment table
AX15-pred,pred,-,-,-,(subject not in alignment table),-,-
AX16-gold,gold,ObjectProperty,InverseOf,eaten-by,eaten-by ≡ eats⁻,FN,pred has no InverseOf axiom on 'is eaten by'
AX16-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX17-gold,gold,ObjectProperty,InverseOf,eats,eats ≡ eaten-by⁻,Skip,subject 'eats' not in alignment table
AX17-pred,pred,-,-,-,(subject not in alignment table),-,-
AX18-gold,gold,ObjectProperty,Range,eats,⊤ ⊑ ∀eats.(animal ⊔ plant ⊔ ∃is-part-of.animal ⊔ ∃is-part-of.plant),Skip,subject 'eats' not in alignment table
AX18-pred,pred,-,-,-,(subject not in alignment table),-,-
AX19-gold,gold,ObjectProperty,Characteristics,has-part,Transitive(has-part),Skip,subject 'has-part' not in alignment table
AX19-pred,pred,-,-,-,(subject not in alignment table),-,-
AX20-gold,gold,ObjectProperty,InverseOf,has-part,has-part ≡ is-part-of⁻,Skip,subject 'has-part' not in alignment table
AX20-pred,pred,-,-,-,(subject not in alignment table),-,-
AX21-gold,gold,ObjectProperty,Characteristics,is-part-of,Transitive(is-part-of),FN,pred has no Characteristics axiom on 'is part of plant'
AX21-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX22-gold,gold,ObjectProperty,Characteristics,is-part-of,Reflexive(is-part-of),FN,pred has no Characteristics axiom on 'is part of plant'
AX22-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX23-gold,gold,ObjectProperty,InverseOf,is-part-of,is-part-of ≡ has-part⁻,FN,pred has no InverseOf axiom on 'is part of plant'
AX23-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX24-gold,gold,ObjectProperty,Characteristics,is-proper-part-of,Irreflexive(is-proper-part-of),Skip,subject 'is-proper-part-of' not in alignment table
AX24-pred,pred,-,-,-,(subject not in alignment table),-,-
AX25-gold,gold,ObjectProperty,SubPropertyOf,is-proper-part-of,is-proper-part-of ⊑ is-part-of,Skip,subject 'is-proper-part-of' not in alignment table
AX25-pred,pred,-,-,-,(subject not in alignment table),-,-
AX1-pred,pred,Class,Declaration,Animal,Declaration: Animal (Class),FP,pred Declaration axiom on 'Animal' not matched by any gold axiom on 'animal'
AX1-gold,gold,-,-,-,(no gold counterpart),-,-
AX3-pred,pred,Class,Declaration,Carnivore,Declaration: Carnivore (Class),FP,pred Declaration axiom on 'Carnivore' not matched by any gold axiom on 'carnivore'
AX3-gold,gold,-,-,-,(no gold counterpart),-,-
AX5-pred,pred,Class,DisjointClasses,Carnivore,"DisjointClasses(Carnivore, Omnivore)",FP,pred DisjointClasses axiom on 'Carnivore' not matched by any gold axiom on 'carnivore'
AX5-gold,gold,-,-,-,(no gold counterpart),-,-
AX6-pred,pred,Class,Declaration,Herbivore,Declaration: Herbivore (Class),FP,pred Declaration axiom on 'Herbivore' not matched by any gold axiom on 'herbivore'
AX6-gold,gold,-,-,-,(no gold counterpart),-,-
AX7-pred,pred,Class,DisjointClasses,Herbivore,"DisjointClasses(Herbivore, Omnivore)",FP,pred DisjointClasses axiom on 'Herbivore' not matched by any gold axiom on 'herbivore'
AX7-gold,gold,-,-,-,(no gold counterpart),-,-
AX8-pred,pred,Class,Declaration,Omnivore,Declaration: Omnivore (Class),FP,pred Declaration axiom on 'Omnivore' not matched by any gold axiom on 'Omnivore'
AX8-gold,gold,-,-,-,(no gold counterpart),-,-
AX9-pred,pred,Class,Declaration,Plant,Declaration: Plant (Class),FP,pred Declaration axiom on 'Plant' not matched by any gold axiom on 'plant'
AX9-gold,gold,-,-,-,(no gold counterpart),-,-
AX10-pred,pred,ObjectProperty,Declaration,is eaten by,Declaration: is eaten by (ObjectProperty),FP,pred Declaration axiom on 'is eaten by' not matched by any gold axiom on 'eaten-by'
AX10-gold,gold,-,-,-,(no gold counterpart),-,-
AX11-pred,pred,ObjectProperty,Domain,is eaten by,∃is eaten by.⊤ ⊑ Animal,FP,pred Domain axiom on 'is eaten by' not matched by any gold axiom on 'eaten-by'
AX11-gold,gold,-,-,-,(no gold counterpart),-,-
