Gold_term,Pre_term,Method,Score
algorithm,algorithm,hard_match,1.0000
cel ascii format,fileformat,top3_avg(jaro_winkler+semantic+sequence_match),0.6758
cel binary format,openformat,top3_avg(jaro_winkler+semantic+sequence_match),0.6603
data,data,hard_match,1.0000
data item,dataexport,top3_avg(jaro_winkler+semantic+sequence_match),0.6783
desktop graphical user interface,desktopapplication,top3_avg(jaro_winkler+semantic+sequence_match),0.7399
format,format,hard_match,1.0000
open source software license,opensource,top3_avg(jaro_winkler+semantic+sequence_match),0.7436
platform,platform,hard_match,1.0000
software,software,hard_match,1.0000
software developer role,developerrole,top3_avg(semantic+sequence_match+jaro_winkler),0.7820
task,task,hard_match,1.0000
version,version,hard_match,1.0000
web service,webservice,hard_match,1.0000
xml,xmldocument,top3_avg(jaro_winkler+semantic+sequence_match),0.6918
