Gold_term,Pre_term,Method,Score
Development status,Developer,top3_avg(jaro_winkler+semantic+sequence_match),0.7358428734000532
algorithm,Algorithm,hard_match,1.0
data format specification,Data Format,top3_avg(jaro_winkler+semantic+sequence_match),0.7778052259444354
data item,Data Artifact,top3_avg(jaro_winkler+semantic+sequence_match),0.6762014636286984
licence,License,top3_avg(jaro_winkler+levenshtein+semantic),0.9057853778203327
plain text file format,File Format,top3_avg(levenshtein+semantic+sequence_match),0.6808199579976794
programming language,Programming Language,hard_match,1.0
software,Software Tool,top3_avg(jaro_winkler+semantic+sequence_match),0.8808754629558987
software interface,Software Type,top3_avg(jaro_winkler+semantic+sequence_match),0.7574901218695874
version number,Version,top3_avg(jaro_winkler+semantic+sequence_match),0.8497086188732048
