gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
algorithm,Algorithm,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
programming language,ProgrammingLanguage,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
software,Software,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
licence,License,jaro_winkler+semantic+levenshtein,jaro_winkler=0.9429; levenshtein=0.8571; semantic=0.9174; sequence_match=0.8571,False,0.9058,True,selected
version number,Version,semantic+jaro_winkler+sequence_match,jaro_winkler=0.9077; levenshtein=0.5385; semantic=0.9414; sequence_match=0.7000,False,0.8497,True,selected
data item,Data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7779; sequence_match=0.6667,False,0.7815,True,selected
data format specification,DataFormat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8870; levenshtein=0.4348; semantic=0.8404; sequence_match=0.6061,False,0.7778,True,selected
software interface,SoftwareType,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8843; levenshtein=0.5882; semantic=0.6985; sequence_match=0.6897,False,0.7575,True,selected
plain text file format,FileFormat,semantic+sequence_match+levenshtein,jaro_winkler=0.4719; levenshtein=0.5263; semantic=0.8265; sequence_match=0.6897,False,0.6808,True,selected
function,Documentation,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6616; levenshtein=0.4615; semantic=0.6734; sequence_match=0.5714,False,0.6355,True,selected
software developer organization,Organization,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5225; levenshtein=0.4138; semantic=0.7883; sequence_match=0.5854,False,0.632,True,selected
Development status,ActivityStatus,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6807; levenshtein=0.3529; semantic=0.6660; sequence_match=0.5161,False,0.6209,True,selected
software,SoftwareType,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9333; levenshtein=0.6667; semantic=0.8048; sequence_match=0.8000,False,0.846,False,gold already mapped to 'Software'
software interface,Software,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8941; levenshtein=0.4706; semantic=0.8315; sequence_match=0.6400,False,0.7885,False,pred already taken by 'software' (higher averaged score)
software developer role,Software,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8762; levenshtein=0.3810; semantic=0.6834; sequence_match=0.5517,False,0.7038,False,pred already taken by 'software' (higher averaged score)
software developer role,SoftwareType,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8419; levenshtein=0.4762; semantic=0.6098; sequence_match=0.6061,False,0.6859,False,pred already taken by 'software interface' (higher averaged score)
data item,DataFormat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8367; levenshtein=0.5000; semantic=0.6561; sequence_match=0.5556,False,0.6828,False,gold already mapped to 'Data'
CEL binary format,FileFormat,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7222; levenshtein=0.4667; semantic=0.7383; sequence_match=0.5600,False,0.6735,False,pred already taken by 'plain text file format' (higher averaged score)
software developer organization,Software,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8552; levenshtein=0.2759; semantic=0.7280; sequence_match=0.4324,False,0.6719,False,pred already taken by 'software' (higher averaged score)
CEL ASCII format,DataFormat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7333; levenshtein=0.5000; semantic=0.6978; sequence_match=0.5833,False,0.6715,False,pred already taken by 'data format specification' (higher averaged score)
CEL ASCII format,FileFormat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7365; levenshtein=0.5000; semantic=0.6942; sequence_match=0.5833,False,0.6714,False,pred already taken by 'plain text file format' (higher averaged score)
CEL binary format,DataFormat,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6746; levenshtein=0.4667; semantic=0.7060; sequence_match=0.5600,False,0.6469,False,pred already taken by 'data format specification' (higher averaged score)
application programming interface,ProgrammingLanguage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6402; levenshtein=0.4194; semantic=0.7137; sequence_match=0.5200,False,0.6246,False,pred already taken by 'programming language' (higher averaged score)
Not Free,Software,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7131; levenshtein=0.3750; semantic=0.5945; sequence_match=0.5333,False,0.6137,False,pred already taken by 'software' (higher averaged score)
software developer organization,SoftwareType,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6927; levenshtein=0.3448; semantic=0.6220; sequence_match=0.4878,False,0.6009,False,gold already mapped to 'Organization'
Open source software license,Software,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6067; levenshtein=0.3200; semantic=0.6894; sequence_match=0.4848,False,0.5936,False,top-3 avg score 0.5936 < final_threshold 0.6
Open source software license,License,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5048; levenshtein=0.2800; semantic=0.8238; sequence_match=0.4375,False,0.5887,False,top-3 avg score 0.5887 < final_threshold 0.6
Not Free,SoftwareType,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7302; levenshtein=0.4167; semantic=0.5026; sequence_match=0.5263,False,0.5864,False,top-3 avg score 0.5864 < final_threshold 0.6
file rendering,FileFormat,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6282; levenshtein=0.3846; semantic=0.6915; sequence_match=0.4348,False,0.5848,False,top-3 avg score 0.5848 < final_threshold 0.6
data format specification,Data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8348; levenshtein=0.1739; semantic=0.6226; sequence_match=0.2963,False,0.5846,False,top-3 avg score 0.5846 < final_threshold 0.6
version number,Person,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7393; levenshtein=0.3846; semantic=0.4847; sequence_match=0.5263,False,0.5834,False,top-3 avg score 0.5834 < final_threshold 0.6
algorithm,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6944; levenshtein=0.2222; semantic=0.5765; sequence_match=0.4706,False,0.5805,False,top-3 avg score 0.5805 < final_threshold 0.6
Development status,Documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6120; levenshtein=0.3529; semantic=0.5881; sequence_match=0.5333,False,0.5778,False,top-3 avg score 0.5778 < final_threshold 0.6
CEL ASCII format,Platform,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7262; levenshtein=0.4286; semantic=0.4402; sequence_match=0.5455,False,0.5706,False,top-3 avg score 0.5706 < final_threshold 0.6
plain text file format,Platform,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6294; levenshtein=0.4211; semantic=0.4779; sequence_match=0.5926,False,0.5666,False,top-3 avg score 0.5666 < final_threshold 0.6
Maintained,Documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6033; levenshtein=0.2308; semantic=0.5701; sequence_match=0.5217,False,0.565,False,top-3 avg score 0.5650 < final_threshold 0.6
algorithm,Agent,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6444; levenshtein=0.3333; semantic=0.6154; sequence_match=0.4286,False,0.5628,False,top-3 avg score 0.5628 < final_threshold 0.6
plain text file format,DataFormat,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4535; levenshtein=0.4211; semantic=0.6665; sequence_match=0.5517,False,0.5572,False,top-3 avg score 0.5572 < final_threshold 0.6
function,Organization,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6139; levenshtein=0.4167; semantic=0.5508; sequence_match=0.5000,False,0.5549,False,top-3 avg score 0.5549 < final_threshold 0.6
Maintained,Data,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6833; levenshtein=0.3000; semantic=0.5377; sequence_match=0.4286,False,0.5499,False,top-3 avg score 0.5499 < final_threshold 0.6
data item,Algorithm,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.5297; sequence_match=0.4706,False,0.5495,False,top-3 avg score 0.5495 < final_threshold 0.6
Open source software license,SoftwareType,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5778; levenshtein=0.3600; semantic=0.5787; sequence_match=0.4865,False,0.5476,False,top-3 avg score 0.5476 < final_threshold 0.6
PROcess,Person,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6627; levenshtein=0.1429; semantic=0.5127; sequence_match=0.4615,False,0.5457,False,top-3 avg score 0.5457 < final_threshold 0.6
CEL binary format,Platform,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6611; levenshtein=0.4000; semantic=0.4469; sequence_match=0.5217,False,0.5433,False,top-3 avg score 0.5433 < final_threshold 0.6
data format specification,FileFormat,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5253; levenshtein=0.2609; semantic=0.7341; sequence_match=0.3636,False,0.541,False,top-3 avg score 0.5410 < final_threshold 0.6
data format specification,Documentation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6347; levenshtein=0.3478; semantic=0.5902; sequence_match=0.3889,False,0.5379,False,top-3 avg score 0.5379 < final_threshold 0.6
application programming interface,Platform,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6526; levenshtein=0.2258; semantic=0.5917; sequence_match=0.3590,False,0.5344,False,top-3 avg score 0.5344 < final_threshold 0.6
algorithm,DataFormat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6185; levenshtein=0.2000; semantic=0.5617; sequence_match=0.4211,False,0.5338,False,top-3 avg score 0.5338 < final_threshold 0.6
