side,dimension,sub,sup,status,raw_pred_sub,raw_pred_sup
gold,class,CarnivorousPlant,plant,FN,,
gold,class,Omnivore,animal,TP,,
gold,class,carnivore,animal,TP,,
gold,class,herbivore,animal,TP,,
gold,class,lion,animal,TP,,
gold,class,lion,carnivore,FN,,
pred,class,,,untranslated,Animal,Food
pred,class,,,untranslated,Carnivore,Food
pred,class,,,untranslated,Herbivore,Food
pred,class,,,untranslated,Lion,Food
pred,class,,,untranslated,Omnivore,Food
pred,class,,,untranslated,Plant,Food
pred,class,,,untranslated,PlantPart,Food
gold,property,is-proper-part-of,has-part,FN,,
gold,property,is-proper-part-of,is-part-of,FN,,
