role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,hasduty,hasduty,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasconstraint,hasconstraint,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,hasoperator,hasoperator,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0000,True,selected
property,partof,ispartof,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9167; levenshtein=0.7500; semantic=0.8314; sequence_match=0.8571,False,0.8684,True,selected
property,assignee,assignedto,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9150; levenshtein=0.7000; semantic=0.8499; sequence_match=0.7778,False,0.8476,True,selected
property,consequence,isconsequenceof,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8505; levenshtein=0.7333; semantic=0.8273; sequence_match=0.8462,False,0.8413,True,selected
property,remedy,isremedyfor,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8485; levenshtein=0.5455; semantic=0.8465; sequence_match=0.7059,False,0.8003,True,selected
property,hasprohibition,hasright,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8208; levenshtein=0.4286; semantic=0.6242; sequence_match=0.5455,False,0.6635,True,selected
property,scope,hastype,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.7117; sequence_match=0.5000,False,0.6293,True,selected
property,operand,usesoperator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6437; levenshtein=0.4167; semantic=0.7147; sequence_match=0.5263,False,0.6282,True,selected
property,hasaction,hasrole,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6720; levenshtein=0.3333; semantic=0.7063; sequence_match=0.5000,False,0.6261,True,selected
property,inheritrelation,expressesinheritance,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6399; levenshtein=0.2000; semantic=0.7093; sequence_match=0.4571,False,0.6021,True,selected
property,assigner,assignedto,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9150; levenshtein=0.7000; semantic=0.7876; sequence_match=0.7778,False,0.8268,False,pred already taken by 'assignee' (higher averaged score)
property,hasconstraint,hasnestedconstraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8366; levenshtein=0.6842; semantic=0.8277; sequence_match=0.8125,False,0.8256,False,gold already mapped to 'hasconstraint'
