Gold_term,Pre_term,Method,Score
has fabrication number,Fabrication Number,top3_avg(jaro_winkler+semantic+sequence_match),0.9139
has firmware version,Firmware Version,top3_avg(jaro_winkler+semantic+sequence_match),0.903
has hardware version,Hardware Version,top3_avg(jaro_winkler+semantic+sequence_match),0.9228
has manufacturer,Manufacturer,top3_avg(jaro_winkler+semantic+sequence_match),0.8869
has model,Model,top3_avg(jaro_winkler+semantic+sequence_match),0.8411
has version,Version,top3_avg(jaro_winkler+semantic+sequence_match),0.8461
has billing period,has Billing,top3_avg(jaro_winkler+semantic+sequence_match),0.8418
has property,has Physical Property,top3_avg(jaro_winkler+semantic+sequence_match),0.7886
is measured by device,is Measured By,top3_avg(jaro_winkler+semantic+sequence_match),0.8687
measurement made by,measures,top3_avg(jaro_winkler+semantic+sequence_match),0.745
