prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,makes measurement,provides Measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8066; levenshtein=0.6842; semantic=0.9201; sequence_match=0.7429,False,0.8232,True,selected
ObjectProperty,has property,has Physical Property,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8612; levenshtein=0.5789; semantic=0.7714; sequence_match=0.7333,False,0.7886,True,selected
ObjectProperty,measurement made by,measures,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8574; levenshtein=0.4118; semantic=0.8178; sequence_match=0.5600,False,0.745,True,selected
ObjectProperty,has measurement,provides Measurement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6907; levenshtein=0.6316; semantic=0.8976; sequence_match=0.7273,False,0.7718,False,pred already taken by 'makes measurement'
ObjectProperty,has property,has Chemical Property,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8593; levenshtein=0.5789; semantic=0.6113; sequence_match=0.7333,False,0.7347,False,gold already mapped to 'has Physical Property'
ObjectProperty,has measurement,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.8723; sequence_match=0.6364,False,0.733,False,pred already taken by 'measurement made by'
ObjectProperty,makes measurement,measures,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7375; levenshtein=0.4375; semantic=0.8766; sequence_match=0.5833,False,0.7325,False,gold already mapped to 'provides Measurement'
ObjectProperty,measurement made by,provides Measurement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6881; levenshtein=0.2632; semantic=0.8156; sequence_match=0.6111,False,0.7049,False,gold already mapped to 'measures'
ObjectProperty,has measurement,has Asset,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8208; levenshtein=0.5000; semantic=0.5502; sequence_match=0.6364,False,0.6691,False,top-3 avg score 0.6691 < final_threshold 0.7
ObjectProperty,has property,has Asset,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6932; levenshtein=0.4545; semantic=0.7765; sequence_match=0.5263,False,0.6653,False,top-3 avg score 0.6653 < final_threshold 0.7
