Gold_term,Pre_term,Method,Score
.csv,CSV File Format,top3_avg(jaro_winkler+semantic+sequence_match),0.671609914710379
CEL ASCII format,CEL File Format,top3_avg(jaro_winkler+semantic+sequence_match),0.8040957731716087
CEL binary format,Open Data Format,top3_avg(jaro_winkler+semantic+sequence_match),0.6672883687623695
Development status,Developer,top3_avg(jaro_winkler+semantic+sequence_match),0.7358428734000532
Open source software license,FOSS License,top3_avg(jaro_winkler+semantic+sequence_match),0.6150860514899984
algorithm,Algorithm,hard_match,1.0
data format specification,Data Format,top3_avg(jaro_winkler+semantic+sequence_match),0.7778052259444354
data item,Data,top3_avg(jaro_winkler+semantic+sequence_match),0.7815332425965202
desktop graphical user interface,Desktop Application,top3_avg(jaro_winkler+semantic+sequence_match),0.7418629403146841
file rendering,GIF Rendering,top3_avg(jaro_winkler+levenshtein+sequence_match),0.7997539497539498
function,Documentation,top3_avg(jaro_winkler+semantic+sequence_match),0.6354804159811855
licence,License,top3_avg(jaro_winkler+levenshtein+semantic),0.9057853778203327
plain text file format,TXT File Format,top3_avg(jaro_winkler+semantic+sequence_match),0.8326208429780566
programming language,Programming Language,hard_match,1.0
software,Software Source,top3_avg(jaro_winkler+semantic+sequence_match),0.8212534497310587
text editing,XML Editing,top3_avg(jaro_winkler+semantic+sequence_match),0.7581468802165848
version number,Version,top3_avg(jaro_winkler+semantic+sequence_match),0.8497086188732048
