prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,constraint,has constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9340; sequence_match=0.8696,False,0.8755,True,selected
ObjectProperty,consequence,has consequence duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8098; levenshtein=0.6111; semantic=0.7758; sequence_match=0.7586,False,0.7814,True,selected
ObjectProperty,constraint,contains,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8950; levenshtein=0.7000; semantic=0.5921; sequence_match=0.7778,False,0.7909,False,gold already mapped to 'has constraint'
ObjectProperty,hasPolicy,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8296; levenshtein=0.5556; semantic=0.6277; sequence_match=0.6250,False,0.6941,False,top-3 avg score 0.6941 < final_threshold 0.7
ObjectProperty,constraint,has nested constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5830; levenshtein=0.5263; semantic=0.7931; sequence_match=0.6897,False,0.6886,False,top-3 avg score 0.6886 < final_threshold 0.7
ObjectProperty,constraint,in contract,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7417; levenshtein=0.5000; semantic=0.5936; sequence_match=0.7000,False,0.6784,False,top-3 avg score 0.6784 < final_threshold 0.7
ObjectProperty,hasPolicy,has party,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8361; levenshtein=0.5556; semantic=0.5838; sequence_match=0.5882,False,0.6694,False,top-3 avg score 0.6694 < final_threshold 0.7
ObjectProperty,conflict,has conflict resolution strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7586; levenshtein=0.2759; semantic=0.7470; sequence_match=0.4324,False,0.646,False,top-3 avg score 0.6460 < final_threshold 0.7
ObjectProperty,permission,step expression,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7488; levenshtein=0.5000; semantic=0.4485; sequence_match=0.6667,False,0.6385,False,top-3 avg score 0.6385 < final_threshold 0.7
ObjectProperty,andSequence,has consequence duty,sequence_match+jaro_winkler+levenshtein,jaro_winkler=0.6882; levenshtein=0.5000; semantic=0.4687; sequence_match=0.6897,False,0.626,False,top-3 avg score 0.6260 < final_threshold 0.7
ObjectProperty,failure,triggers on failure,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4239; levenshtein=0.4118; semantic=0.8498; sequence_match=0.5833,False,0.619,False,top-3 avg score 0.6190 < final_threshold 0.7
ObjectProperty,remedy,has remedy for violation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7619; levenshtein=0.2857; semantic=0.6102; sequence_match=0.4444,False,0.6055,False,top-3 avg score 0.6055 < final_threshold 0.7
ObjectProperty,hasPolicy,governed by policy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5139; levenshtein=0.3750; semantic=0.8175; sequence_match=0.4800,False,0.6038,False,top-3 avg score 0.6038 < final_threshold 0.7
ObjectProperty,partOf,has party,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6389; levenshtein=0.3750; semantic=0.5387; sequence_match=0.5714,False,0.583,False,top-3 avg score 0.5830 < final_threshold 0.7
ObjectProperty,scope,has role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.5690; sequence_match=0.5000,False,0.5817,False,top-3 avg score 0.5817 < final_threshold 0.7
ObjectProperty,hasPolicy,has step,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.3333; semantic=0.5344; sequence_match=0.5000,False,0.5688,False,top-3 avg score 0.5688 < final_threshold 0.7
ObjectProperty,hasPolicy,has constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6538; levenshtein=0.3846; semantic=0.5713; sequence_match=0.4545,False,0.5599,False,top-3 avg score 0.5599 < final_threshold 0.7
ObjectProperty,conflict,contains,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.5000; semantic=0.5126; sequence_match=0.5000,False,0.5598,False,top-3 avg score 0.5598 < final_threshold 0.7
