prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasBody,has body,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasColor,has color,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasVintageYear,has vintage year,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasSugar,has grape,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8444; levenshtein=0.3750; semantic=0.6485; sequence_match=0.6250,False,0.706,True,selected
ObjectProperty,hasVintageYear,has good vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7967; levenshtein=0.4286; semantic=0.8142; sequence_match=0.7143,False,0.7751,False,gold already mapped to 'has vintage year'
ObjectProperty,hasFlavor,has color,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8250; levenshtein=0.5556; semantic=0.6852; sequence_match=0.7059,False,0.7387,False,pred already taken by 'hasColor'
ObjectProperty,hasBody,has bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8429; levenshtein=0.5000; semantic=0.6380; sequence_match=0.5882,False,0.6897,False,top-3 avg score 0.6897 < final_threshold 0.7
ObjectProperty,madeFromGrape,has grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6261; levenshtein=0.4615; semantic=0.8078; sequence_match=0.5714,False,0.6684,False,top-3 avg score 0.6684 < final_threshold 0.7
ObjectProperty,hasBody,has color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.6722; sequence_match=0.5333,False,0.632,False,top-3 avg score 0.6320 < final_threshold 0.7
ObjectProperty,hasColor,has body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.6722; sequence_match=0.5333,False,0.632,False,top-3 avg score 0.6320 < final_threshold 0.7
ObjectProperty,hasColor,has grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6667; levenshtein=0.3750; semantic=0.6878; sequence_match=0.5000,False,0.6182,False,top-3 avg score 0.6182 < final_threshold 0.7
ObjectProperty,hasFlavor,has body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.3333; semantic=0.6475; sequence_match=0.5000,False,0.6065,False,top-3 avg score 0.6065 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has vintage year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6807; levenshtein=0.3529; semantic=0.6208; sequence_match=0.5161,False,0.6059,False,top-3 avg score 0.6059 < final_threshold 0.7
ObjectProperty,hasFlavor,has grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6481; levenshtein=0.4444; semantic=0.6833; sequence_match=0.4706,False,0.6007,False,top-3 avg score 0.6007 < final_threshold 0.7
ObjectProperty,hasVintageYear,has grape,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6706; levenshtein=0.3571; semantic=0.6428; sequence_match=0.4545,False,0.5893,False,top-3 avg score 0.5893 < final_threshold 0.7
ObjectProperty,hasSugar,has color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.5000; semantic=0.5763; sequence_match=0.5000,False,0.581,False,top-3 avg score 0.5810 < final_threshold 0.7
ObjectProperty,hasSugar,has vintage year,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6706; levenshtein=0.4286; semantic=0.5267; sequence_match=0.5455,False,0.5809,False,top-3 avg score 0.5809 < final_threshold 0.7
ObjectProperty,hasBody,has good vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.3571; semantic=0.5697; sequence_match=0.4762,False,0.5788,False,top-3 avg score 0.5788 < final_threshold 0.7
ObjectProperty,hasColor,has bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6333; levenshtein=0.4000; semantic=0.6551; sequence_match=0.4444,False,0.5776,False,top-3 avg score 0.5776 < final_threshold 0.7
ObjectProperty,locatedIn,is produced in,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6667; levenshtein=0.4167; semantic=0.4797; sequence_match=0.5714,False,0.5726,False,top-3 avg score 0.5726 < final_threshold 0.7
ObjectProperty,hasColor,has good vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6607; levenshtein=0.2857; semantic=0.5951; sequence_match=0.4545,False,0.5701,False,top-3 avg score 0.5701 < final_threshold 0.7
ObjectProperty,hasFlavor,has vintage year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.3571; semantic=0.6093; sequence_match=0.4348,False,0.5623,False,top-3 avg score 0.5623 < final_threshold 0.7
ObjectProperty,hasColor,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.6426; sequence_match=0.4000,False,0.5608,False,top-3 avg score 0.5608 < final_threshold 0.7
ObjectProperty,hasFlavor,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6166; levenshtein=0.2941; semantic=0.6483; sequence_match=0.3846,False,0.5498,False,top-3 avg score 0.5498 < final_threshold 0.7
ObjectProperty,hasFlavor,has bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6148; levenshtein=0.3000; semantic=0.6067; sequence_match=0.4211,False,0.5475,False,top-3 avg score 0.5475 < final_threshold 0.7
ObjectProperty,hasSugar,has good vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6607; levenshtein=0.2857; semantic=0.5253; sequence_match=0.4545,False,0.5468,False,top-3 avg score 0.5468 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.3529; semantic=0.5187; sequence_match=0.4800,False,0.5461,False,top-3 avg score 0.5461 < final_threshold 0.7
ObjectProperty,hasBody,has grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6012; levenshtein=0.3750; semantic=0.6298; sequence_match=0.4000,False,0.5437,False,top-3 avg score 0.5437 < final_threshold 0.7
ObjectProperty,hasSugar,has bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.4000; semantic=0.5350; sequence_match=0.4444,False,0.5376,False,top-3 avg score 0.5376 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has grape,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6454; levenshtein=0.2941; semantic=0.6442; sequence_match=0.3200,False,0.5365,False,top-3 avg score 0.5365 < final_threshold 0.7
ObjectProperty,hasColor,has vintage year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.2857; semantic=0.6473; sequence_match=0.3636,False,0.5354,False,top-3 avg score 0.5354 < final_threshold 0.7
ObjectProperty,hasVintageYear,has color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.2857; semantic=0.6473; sequence_match=0.3636,False,0.5354,False,top-3 avg score 0.5354 < final_threshold 0.7
ObjectProperty,hasFlavor,has good vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.6025; sequence_match=0.3478,False,0.5311,False,top-3 avg score 0.5311 < final_threshold 0.7
ObjectProperty,hasBody,has vintage year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5905; sequence_match=0.3810,False,0.5302,False,top-3 avg score 0.5302 < final_threshold 0.7
ObjectProperty,hasVintageYear,has body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5905; sequence_match=0.3810,False,0.5302,False,top-3 avg score 0.5302 < final_threshold 0.7
