Gold_term,Pre_term,Method,Score
Actuator,Actuator,hard_match,1.0
ChemicalProperty,Water Chemical Property,top3_avg(jaro_winkler+semantic+sequence_match),0.8322473413934358
Key Performance Indicator,Water Indicator,top3_avg(jaro_winkler+semantic+sequence_match),0.6063049156264281
Measurement,Measurement,hard_match,1.0
Meter,Motor,top3_avg(jaro_winkler+semantic+sequence_match),0.6582409691810608
Sensor,Sensor,hard_match,1.0
Tariff,Tariff,hard_match,1.0
Temporal duration,Temperature,top3_avg(jaro_winkler+semantic+sequence_match),0.6392799055803772
Temporal entity,Temporal Setting,top3_avg(jaro_winkler+semantic+sequence_match),0.8260943932548521
Water,Water,hard_match,1.0
Water asset,Water Quality Sensor,top3_avg(jaro_winkler+semantic+sequence_match),0.7122426065313752
Water infrastructure,Water Distribution Infrastructure,top3_avg(jaro_winkler+semantic+sequence_match),0.8478553603662903
Water meter,Water Meter,hard_match,1.0
Water property,Water Physical Property,top3_avg(jaro_winkler+semantic+sequence_match),0.789177549726994
