prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasPolicy,has Policy,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,permission,has Permission,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9382; sequence_match=0.8696,False,0.877,True,selected
ObjectProperty,constraint,has Constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9340; sequence_match=0.8696,False,0.8755,True,selected
ObjectProperty,operator,has Operator,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8258; levenshtein=0.7273; semantic=0.9131; sequence_match=0.8421,False,0.8603,True,selected
ObjectProperty,remedy,has Remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.6667; semantic=0.8339; sequence_match=0.8000,False,0.8409,True,selected
ObjectProperty,consequence,Has Consequence Duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8098; levenshtein=0.6111; semantic=0.7758; sequence_match=0.7586,False,0.7814,True,selected
ObjectProperty,duty,has Duty,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.5714; semantic=0.8559; sequence_match=0.7273,False,0.7182,True,selected
ObjectProperty,assignee,has Duty Assignment,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7623; levenshtein=0.4118; semantic=0.7715; sequence_match=0.5600,False,0.6979,False,top-3 avg score 0.6979 < final_threshold 0.7
ObjectProperty,hasPolicy,has Role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8296; levenshtein=0.5556; semantic=0.6277; sequence_match=0.6250,False,0.6941,False,top-3 avg score 0.6941 < final_threshold 0.7
ObjectProperty,constraint,has Nested Constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5830; levenshtein=0.5263; semantic=0.7931; sequence_match=0.6897,False,0.6886,False,top-3 avg score 0.6886 < final_threshold 0.7
ObjectProperty,constraint,has Constraint On Requirement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6949; levenshtein=0.3846; semantic=0.7917; sequence_match=0.5556,False,0.6807,False,top-3 avg score 0.6807 < final_threshold 0.7
ObjectProperty,conflict,has Conflict Resolution Strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7586; levenshtein=0.2759; semantic=0.7470; sequence_match=0.4324,False,0.646,False,top-3 avg score 0.6460 < final_threshold 0.7
ObjectProperty,assigner,has Duty Assignment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7010; levenshtein=0.4118; semantic=0.6718; sequence_match=0.5600,False,0.6443,False,top-3 avg score 0.6443 < final_threshold 0.7
ObjectProperty,duty,has Duty Assignment,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7451; levenshtein=0.2353; semantic=0.7786; sequence_match=0.3810,False,0.6349,False,top-3 avg score 0.6349 < final_threshold 0.7
ObjectProperty,operand,has Operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5896; levenshtein=0.4545; semantic=0.7565; sequence_match=0.5556,False,0.6339,False,top-3 avg score 0.6339 < final_threshold 0.7
ObjectProperty,andSequence,Has Consequence Duty,sequence_match+jaro_winkler+levenshtein,jaro_winkler=0.6882; levenshtein=0.5000; semantic=0.4687; sequence_match=0.6897,False,0.626,False,top-3 avg score 0.6260 < final_threshold 0.7
ObjectProperty,action,has Condition,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6833; levenshtein=0.5000; semantic=0.5271; sequence_match=0.6667,False,0.6257,False,top-3 avg score 0.6257 < final_threshold 0.7
ObjectProperty,constraint,has Condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6972; levenshtein=0.2500; semantic=0.5957; sequence_match=0.5455,False,0.6128,False,top-3 avg score 0.6128 < final_threshold 0.7
ObjectProperty,action,Activated Upon Failure Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8545; levenshtein=0.2727; semantic=0.5366; sequence_match=0.4286,False,0.6066,False,top-3 avg score 0.6066 < final_threshold 0.7
ObjectProperty,scope,has Operator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7212; levenshtein=0.2727; semantic=0.5825; sequence_match=0.5000,False,0.6012,False,top-3 avg score 0.6012 < final_threshold 0.7
ObjectProperty,hasPolicy,has Duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.4444; semantic=0.6264; sequence_match=0.5000,False,0.5994,False,top-3 avg score 0.5994 < final_threshold 0.7
ObjectProperty,hasPolicy,has Right,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.6771; sequence_match=0.4706,False,0.5986,False,top-3 avg score 0.5986 < final_threshold 0.7
ObjectProperty,obligation,has Negation,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6596; levenshtein=0.5455; semantic=0.4489; sequence_match=0.5714,False,0.5922,False,top-3 avg score 0.5922 < final_threshold 0.7
ObjectProperty,relation,has Negation,sequence_match+jaro_winkler+levenshtein,jaro_winkler=0.5985; levenshtein=0.5455; semantic=0.4596; sequence_match=0.6316,False,0.5918,False,top-3 avg score 0.5918 < final_threshold 0.7
ObjectProperty,prohibition,has Permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6773; levenshtein=0.3077; semantic=0.5895; sequence_match=0.5000,False,0.589,False,top-3 avg score 0.5890 < final_threshold 0.7
ObjectProperty,target,has Right,jaro_winkler+semantic+levenshtein,jaro_winkler=0.7222; levenshtein=0.5000; semantic=0.5377; sequence_match=0.1429,False,0.5867,False,top-3 avg score 0.5867 < final_threshold 0.7
ObjectProperty,leftOperand,has Operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5697; levenshtein=0.3636; semantic=0.7259; sequence_match=0.4545,False,0.5834,False,top-3 avg score 0.5834 < final_threshold 0.7
ObjectProperty,failure,Activated Upon Failure Of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5011; levenshtein=0.3182; semantic=0.7635; sequence_match=0.4828,False,0.5825,False,top-3 avg score 0.5825 < final_threshold 0.7
ObjectProperty,scope,has Role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6762; levenshtein=0.4286; semantic=0.5690; sequence_match=0.5000,False,0.5817,False,top-3 avg score 0.5817 < final_threshold 0.7
ObjectProperty,constraint,has Contract Party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6417; levenshtein=0.3750; semantic=0.5633; sequence_match=0.5385,False,0.5811,False,top-3 avg score 0.5811 < final_threshold 0.7
ObjectProperty,conflict,has Condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6806; levenshtein=0.3333; semantic=0.5593; sequence_match=0.5000,False,0.58,False,top-3 avg score 0.5800 < final_threshold 0.7
ObjectProperty,assigner,has Asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.2500; semantic=0.5490; sequence_match=0.5000,False,0.5719,False,top-3 avg score 0.5719 < final_threshold 0.7
ObjectProperty,assignee,has Asset,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.2500; semantic=0.5462; sequence_match=0.5000,False,0.5709,False,top-3 avg score 0.5709 < final_threshold 0.7
ObjectProperty,hasPolicy,has Condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.4167; semantic=0.5691; sequence_match=0.4762,False,0.5707,False,top-3 avg score 0.5707 < final_threshold 0.7
ObjectProperty,inheritRelation,has Permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6684; levenshtein=0.3333; semantic=0.5361; sequence_match=0.5000,False,0.5681,False,top-3 avg score 0.5681 < final_threshold 0.7
ObjectProperty,obligation,has Condition,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6183; levenshtein=0.3333; semantic=0.5391; sequence_match=0.5455,False,0.5676,False,top-3 avg score 0.5676 < final_threshold 0.7
ObjectProperty,assignee,has Right,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.3750; semantic=0.5359; sequence_match=0.5000,False,0.5675,False,top-3 avg score 0.5675 < final_threshold 0.7
ObjectProperty,hasPolicy,has Permission,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6467; levenshtein=0.3846; semantic=0.5952; sequence_match=0.4545,False,0.5655,False,top-3 avg score 0.5655 < final_threshold 0.7
ObjectProperty,assigner,has Right,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.3750; semantic=0.5235; sequence_match=0.5000,False,0.5634,False,top-3 avg score 0.5634 < final_threshold 0.7
ObjectProperty,conflict,has Policy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.3333; semantic=0.5614; sequence_match=0.4706,False,0.56,False,top-3 avg score 0.5600 < final_threshold 0.7
ObjectProperty,hasPolicy,has Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6538; levenshtein=0.3846; semantic=0.5713; sequence_match=0.4545,False,0.5599,False,top-3 avg score 0.5599 < final_threshold 0.7
ObjectProperty,function,has Condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6389; levenshtein=0.4167; semantic=0.5397; sequence_match=0.5000,False,0.5595,False,top-3 avg score 0.5595 < final_threshold 0.7
ObjectProperty,target,has Role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.5734; sequence_match=0.4615,False,0.5593,False,top-3 avg score 0.5593 < final_threshold 0.7
ObjectProperty,inheritRelation,has Negation,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6702; levenshtein=0.4667; semantic=0.3564; sequence_match=0.5385,False,0.5584,False,top-3 avg score 0.5584 < final_threshold 0.7
ObjectProperty,function,has Negation,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.6932; levenshtein=0.4545; semantic=0.4417; sequence_match=0.5263,False,0.558,False,top-3 avg score 0.5580 < final_threshold 0.7
ObjectProperty,constraint,has Contract Party Right,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6020; levenshtein=0.3333; semantic=0.5530; sequence_match=0.5161,False,0.5571,False,top-3 avg score 0.5571 < final_threshold 0.7
ObjectProperty,prohibition,has Condition,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6447; levenshtein=0.4167; semantic=0.4963; sequence_match=0.5217,False,0.5542,False,top-3 avg score 0.5542 < final_threshold 0.7
ObjectProperty,conflict,has Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6032; levenshtein=0.3846; semantic=0.5657; sequence_match=0.4762,False,0.5484,False,top-3 avg score 0.5484 < final_threshold 0.7
ObjectProperty,hasPolicy,has Operator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6034; levenshtein=0.3636; semantic=0.5388; sequence_match=0.5000,False,0.5474,False,top-3 avg score 0.5474 < final_threshold 0.7
ObjectProperty,and,has Condition,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7500; levenshtein=0.2500; semantic=0.4921; sequence_match=0.4000,False,0.5474,False,top-3 avg score 0.5474 < final_threshold 0.7
ObjectProperty,assigner,has Operator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6212; levenshtein=0.2727; semantic=0.5997; sequence_match=0.4211,False,0.5473,False,top-3 avg score 0.5473 < final_threshold 0.7
ObjectProperty,inheritFrom,has Operator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6414; levenshtein=0.1818; semantic=0.5355; sequence_match=0.4545,False,0.5438,False,top-3 avg score 0.5438 < final_threshold 0.7
ObjectProperty,action,has Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6726; levenshtein=0.3077; semantic=0.5357; sequence_match=0.4211,False,0.5431,False,top-3 avg score 0.5431 < final_threshold 0.7
ObjectProperty,constraint,has Contract Party Duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6083; levenshtein=0.3000; semantic=0.5488; sequence_match=0.4667,False,0.5413,False,top-3 avg score 0.5413 < final_threshold 0.7
ObjectProperty,hasPolicy,has Remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6296; levenshtein=0.4444; semantic=0.5470; sequence_match=0.4444,False,0.5404,False,top-3 avg score 0.5404 < final_threshold 0.7
