Gold_term,Pre_term,Method,Score
has documentation,has Documentation URL,top3_avg(jaro_winkler+semantic+sequence_match),0.9256
has download location,has Download URL,top3_avg(jaro_winkler+semantic+sequence_match),0.8289
has release date,version Release Date,top3_avg(jaro_winkler+semantic+sequence_match),0.7606
has support URL,has Support URL,hard_match,1.0
has website homepage,has Homepage,top3_avg(jaro_winkler+semantic+sequence_match),0.849
has input,has Input Format,top3_avg(jaro_winkler+semantic+sequence_match),0.812
has license,has License,hard_match,1.0
has output,has Output Format,top3_avg(jaro_winkler+semantic+sequence_match),0.8343
has version,has Version,hard_match,1.0
is developed by,developed By,top3_avg(jaro_winkler+semantic+sequence_match),0.9339
uses platform,supported Platform,top3_avg(jaro_winkler+semantic+sequence_match),0.7207
