PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
ObjectProperty,action,hasAction,action,hasaction,ObjectProperty,ObjectProperty,tp,,Rule,,rule,fp,Action,Action,action,action,tp,NO,
ObjectProperty,assignee,hasAssignee,assignee,hasassignee,ObjectProperty,ObjectProperty,tp,,Rule,,rule,fp,Party,Party,party,party,tp,NO,
ObjectProperty,assigner,hasAssigner,assigner,hasassigner,ObjectProperty,ObjectProperty,tp,,Rule,,rule,fp,Party,Party,party,party,tp,NO,
ObjectProperty,conflict,hasConflictStrategy,conflict,hasconflictstrategy,ObjectProperty,ObjectProperty,tp,Policy,Policy,policy,policy,tp,ConflictTerm,ConflictStrategy,conflictterm,conflictstrategy,tp,YES,
ObjectProperty,consequence,hasConsequence,consequence,hasconsequence,ObjectProperty,ObjectProperty,tp,Duty,Duty,duty,duty,tp,Duty,Duty,duty,duty,tp,YES,
ObjectProperty,constraint,hasConstraint,constraint,hasconstraint,ObjectProperty,ObjectProperty,tp,,Rule,,rule,fp,,Constraint,,constraint,fp,NO,
ObjectProperty,duty,hasDuty,duty,hasduty,ObjectProperty,ObjectProperty,tp,Permission,Policy,permission,policy,mismatch,Duty,Duty,duty,duty,tp,NO,
ObjectProperty,failure,hasFailureRule,failure,hasfailurerule,ObjectProperty,ObjectProperty,tp,Rule,Rule,rule,rule,tp,Rule,Rule,rule,rule,tp,YES,
ObjectProperty,hasPolicy,subPolicyOf,haspolicy,subpolicyof,ObjectProperty,ObjectProperty,tp,Asset,Policy,asset,policy,mismatch,Policy,Policy,policy,policy,tp,NO,
ObjectProperty,leftOperand,hasLeftOperand,leftoperand,hasleftoperand,ObjectProperty,ObjectProperty,tp,Constraint,LogicalConstraint,constraint,logicalconstraint,mismatch,LeftOperand,Constraint,leftoperand,constraint,mismatch,NO,
ObjectProperty,operator,hasOperator,operator,hasoperator,ObjectProperty,ObjectProperty,tp,Constraint,Constraint,constraint,constraint,tp,Operator,Operator,operator,operator,tp,YES,
ObjectProperty,permission,hasPermission,permission,haspermission,ObjectProperty,ObjectProperty,tp,Policy,Policy,policy,policy,tp,Permission,Permission,permission,permission,tp,YES,
ObjectProperty,prohibition,hasProhibition,prohibition,hasprohibition,ObjectProperty,ObjectProperty,tp,Policy,Policy,policy,policy,tp,Prohibition,Prohibition,prohibition,prohibition,tp,YES,
ObjectProperty,remedy,hasRemedy,remedy,hasremedy,ObjectProperty,ObjectProperty,tp,Prohibition,Prohibition,prohibition,prohibition,tp,Duty,Duty,duty,duty,tp,YES,
