prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has license,has license,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has version,has version,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,implements,implements,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,is developed by,developed by,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9487; levenshtein=0.8462; semantic=0.9364; sequence_match=0.9167,False,0.9339,True,selected
ObjectProperty,has output,has output format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9200; levenshtein=0.6000; semantic=0.8329; sequence_match=0.7500,False,0.8343,True,selected
ObjectProperty,uses software,runs software on,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8492; levenshtein=0.6429; semantic=0.8238; sequence_match=0.7692,False,0.8141,True,selected
ObjectProperty,has input,has input format,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9143; levenshtein=0.5714; semantic=0.7945; sequence_match=0.7273,False,0.812,True,selected
ObjectProperty,uses platform,runs on platform,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7492; levenshtein=0.7143; semantic=0.8535; sequence_match=0.7692,False,0.7906,True,selected
ObjectProperty,implements,implemented in,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9185; levenshtein=0.6923; semantic=0.8329; sequence_match=0.7826,False,0.8446,False,gold already mapped to 'implements'
ObjectProperty,has license,licenses,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7667; levenshtein=0.6000; semantic=0.8417; sequence_match=0.7778,False,0.7954,False,gold already mapped to 'has license'
ObjectProperty,has version,is version of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8424; levenshtein=0.6364; semantic=0.7646; sequence_match=0.7619,False,0.7896,False,gold already mapped to 'has version'
ObjectProperty,has output,is output for,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8047; levenshtein=0.5455; semantic=0.8165; sequence_match=0.7000,False,0.7737,False,gold already mapped to 'has output format'
ObjectProperty,is software for,runs software on,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8278; levenshtein=0.6429; semantic=0.7317; sequence_match=0.7407,False,0.7668,False,pred already taken by 'uses software'
ObjectProperty,has input,is input for,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7278; levenshtein=0.5000; semantic=0.8480; sequence_match=0.6667,False,0.7475,False,gold already mapped to 'has input format'
ObjectProperty,is developed by,develops,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8045; levenshtein=0.5385; semantic=0.7540; sequence_match=0.6667,False,0.7417,False,gold already mapped to 'developed by'
ObjectProperty,uses software,has software type,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7833; levenshtein=0.5333; semantic=0.7271; sequence_match=0.6667,False,0.7257,False,gold already mapped to 'runs software on'
ObjectProperty,uses platform,uses algorithm,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8805; levenshtein=0.4615; semantic=0.6325; sequence_match=0.6400,False,0.7177,False,gold already mapped to 'runs on platform'
ObjectProperty,has declared status,has maintenance status,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8096; levenshtein=0.5000; semantic=0.6414; sequence_match=0.6486,False,0.6999,False,top-3 avg score 0.6999 < final_threshold 0.7
ObjectProperty,has interface,has input format,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8563; levenshtein=0.5000; semantic=0.5949; sequence_match=0.6154,False,0.6889,False,top-3 avg score 0.6889 < final_threshold 0.7
ObjectProperty,has clause,has license,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8115; levenshtein=0.5000; semantic=0.6169; sequence_match=0.6316,False,0.6866,False,top-3 avg score 0.6866 < final_threshold 0.7
ObjectProperty,has clause,has feature,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7900; levenshtein=0.6000; semantic=0.6106; sequence_match=0.6316,False,0.6774,False,top-3 avg score 0.6774 < final_threshold 0.7
ObjectProperty,is developed by,has development model,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7652; levenshtein=0.5263; semantic=0.6141; sequence_match=0.6250,False,0.6681,False,top-3 avg score 0.6681 < final_threshold 0.7
