Gold_term,Pre_term,Method,Score
Actuator,Actuator,hard_match,1.0
ChemicalProperty,Chemical Indicator,top3_avg(jaro_winkler+semantic+sequence_match),0.6914800478175361
Device,Device,hard_match,1.0
Key Performance Indicator,Physical Indicator,top3_avg(jaro_winkler+semantic+sequence_match),0.6182767945133115
Sensor,Sensor,hard_match,1.0
Tariff,Tariff,hard_match,1.0
Temporal entity,Temporal Setting,top3_avg(jaro_winkler+semantic+sequence_match),0.8260943932548521
Water,Water Indicator,top3_avg(jaro_winkler+semantic+sequence_match),0.7092799356706757
Water asset,Asset,top3_avg(jaro_winkler+semantic+sequence_match),0.7018537335925631
Water infrastructure,Water Distribution Infrastructure,top3_avg(jaro_winkler+semantic+sequence_match),0.8478553603662903
Water meter,Water Meter,hard_match,1.0
