Gold_term,Pre_term,Method,Score
has documentation,has documentation url,top3_avg(jaro_winkler+semantic+sequence_match),0.9256
has download location,has download url,top3_avg(jaro_winkler+semantic+sequence_match),0.8289
has release date,has release date,hard_match,1.0
has support URL,has support url,hard_match,1.0
has website homepage,has homepage url,top3_avg(jaro_winkler+semantic+sequence_match),0.7519
has input,has input format,top3_avg(jaro_winkler+semantic+sequence_match),0.812
has license,has license,hard_match,1.0
has output,has output format,top3_avg(jaro_winkler+semantic+sequence_match),0.8343
has version,has version,hard_match,1.0
implements,implements,hard_match,1.0
is developed by,developed by,top3_avg(jaro_winkler+semantic+sequence_match),0.9339
uses platform,runs on platform,top3_avg(jaro_winkler+semantic+sequence_match),0.7906
uses software,runs software on,top3_avg(jaro_winkler+semantic+sequence_match),0.8141
