Gold_term,Pre_term,Method,Score
assignee,assignedto,top3_avg(jaro_winkler+semantic+sequence_match),0.8476
consequence,isconsequenceof,top3_avg(jaro_winkler+sequence_match+semantic),0.8413
hasaction,hasrole,top3_avg(semantic+jaro_winkler+sequence_match),0.6261
hasconstraint,hasconstraint,hard_match,1.0000
hasduty,hasduty,hard_match,1.0000
hasoperator,hasoperator,hard_match,1.0000
hasprohibition,hasright,top3_avg(jaro_winkler+semantic+sequence_match),0.6635
inheritrelation,expressesinheritance,top3_avg(semantic+jaro_winkler+sequence_match),0.6021
operand,usesoperator,top3_avg(semantic+jaro_winkler+sequence_match),0.6282
partof,ispartof,top3_avg(jaro_winkler+sequence_match+semantic),0.8684
remedy,isremedyfor,top3_avg(jaro_winkler+semantic+sequence_match),0.8003
scope,hastype,top3_avg(semantic+jaro_winkler+sequence_match),0.6293
