prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasBody,has body,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasColor,has color,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasVintageYear,has vintage year,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasWineDescriptor,has wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8824; levenshtein=0.4118; semantic=0.7368; sequence_match=0.5833,False,0.7342,True,selected
ObjectProperty,hasColor,has typical color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8017; levenshtein=0.5333; semantic=0.8566; sequence_match=0.6957,False,0.7847,False,gold already mapped to 'has color'
ObjectProperty,hasVintageYear,has good vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7967; levenshtein=0.4286; semantic=0.8142; sequence_match=0.7143,False,0.7751,False,gold already mapped to 'has vintage year'
ObjectProperty,hasColor,color of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7798; levenshtein=0.3750; semantic=0.8603; sequence_match=0.6667,False,0.7689,False,gold already mapped to 'has color'
ObjectProperty,hasFlavor,has color,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8250; levenshtein=0.5556; semantic=0.6852; sequence_match=0.7059,False,0.7387,False,pred already taken by 'hasColor'
ObjectProperty,hasVintageYear,vintage of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6640; levenshtein=0.5000; semantic=0.8338; sequence_match=0.6087,False,0.7022,False,gold already mapped to 'has vintage year'
ObjectProperty,hasVintageYear,good vintage for,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7143; levenshtein=0.5000; semantic=0.8010; sequence_match=0.5714,False,0.6956,False,top-3 avg score 0.6956 < final_threshold 0.7
ObjectProperty,hasBody,has bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8429; levenshtein=0.5000; semantic=0.6380; sequence_match=0.5882,False,0.6897,False,top-3 avg score 0.6897 < final_threshold 0.7
ObjectProperty,madeFromGrape,produces grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7208; levenshtein=0.3846; semantic=0.8035; sequence_match=0.5385,False,0.6876,False,top-3 avg score 0.6876 < final_threshold 0.7
ObjectProperty,hasVintageYear,has wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6577; sequence_match=0.5714,False,0.6875,False,top-3 avg score 0.6875 < final_threshold 0.7
ObjectProperty,hasColor,typical color of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6151; levenshtein=0.4286; semantic=0.7504; sequence_match=0.5455,False,0.637,False,top-3 avg score 0.6370 < final_threshold 0.7
ObjectProperty,hasBody,has color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.6722; sequence_match=0.5333,False,0.632,False,top-3 avg score 0.6320 < final_threshold 0.7
ObjectProperty,hasColor,has body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.6722; sequence_match=0.5333,False,0.632,False,top-3 avg score 0.6320 < final_threshold 0.7
ObjectProperty,hasBody,body of,semantic+sequence_match+jaro_winkler,jaro_winkler=0.4365; levenshtein=0.2857; semantic=0.8393; sequence_match=0.6154,False,0.6304,False,top-3 avg score 0.6304 < final_threshold 0.7
ObjectProperty,hasVintageYear,has grape variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8241; levenshtein=0.2667; semantic=0.6469; sequence_match=0.4138,False,0.6283,False,top-3 avg score 0.6283 < final_threshold 0.7
ObjectProperty,hasFlavor,has typical color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7904; levenshtein=0.4000; semantic=0.5935; sequence_match=0.5000,False,0.628,False,top-3 avg score 0.6280 < final_threshold 0.7
ObjectProperty,madeFromGrape,has grape variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6329; levenshtein=0.2000; semantic=0.7702; sequence_match=0.4286,False,0.6106,False,top-3 avg score 0.6106 < final_threshold 0.7
ObjectProperty,hasFlavor,has body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.3333; semantic=0.6475; sequence_match=0.5000,False,0.6065,False,top-3 avg score 0.6065 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has vintage year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6807; levenshtein=0.3529; semantic=0.6208; sequence_match=0.5161,False,0.6059,False,top-3 avg score 0.6059 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has grape variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6850; levenshtein=0.4118; semantic=0.6735; sequence_match=0.4375,False,0.5987,False,top-3 avg score 0.5987 < final_threshold 0.7
ObjectProperty,hasSugar,has color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.5000; semantic=0.5763; sequence_match=0.5000,False,0.581,False,top-3 avg score 0.5810 < final_threshold 0.7
ObjectProperty,hasSugar,has vintage year,jaro_winkler+sequence_match+semantic,jaro_winkler=0.6706; levenshtein=0.4286; semantic=0.5267; sequence_match=0.5455,False,0.5809,False,top-3 avg score 0.5809 < final_threshold 0.7
ObjectProperty,hasBody,has good vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.3571; semantic=0.5697; sequence_match=0.4762,False,0.5788,False,top-3 avg score 0.5788 < final_threshold 0.7
ObjectProperty,hasColor,has bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6333; levenshtein=0.4000; semantic=0.6551; sequence_match=0.4444,False,0.5776,False,top-3 avg score 0.5776 < final_threshold 0.7
ObjectProperty,hasFlavor,has grape variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.4000; semantic=0.5980; sequence_match=0.5000,False,0.5771,False,top-3 avg score 0.5771 < final_threshold 0.7
ObjectProperty,hasSugar,has grape variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6611; levenshtein=0.3333; semantic=0.5386; sequence_match=0.5217,False,0.5738,False,top-3 avg score 0.5738 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,used in wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6319; levenshtein=0.2353; semantic=0.7098; sequence_match=0.3704,False,0.5707,False,top-3 avg score 0.5707 < final_threshold 0.7
ObjectProperty,hasColor,has good vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6607; levenshtein=0.2857; semantic=0.5951; sequence_match=0.4545,False,0.5701,False,top-3 avg score 0.5701 < final_threshold 0.7
ObjectProperty,hasBody,has region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6720; levenshtein=0.3333; semantic=0.5200; sequence_match=0.5000,False,0.564,False,top-3 avg score 0.5640 < final_threshold 0.7
ObjectProperty,hasFlavor,has vintage year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.3571; semantic=0.6093; sequence_match=0.4348,False,0.5623,False,top-3 avg score 0.5623 < final_threshold 0.7
ObjectProperty,hasColor,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6397; levenshtein=0.2941; semantic=0.6426; sequence_match=0.4000,False,0.5608,False,top-3 avg score 0.5608 < final_threshold 0.7
ObjectProperty,hasColor,has region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6481; levenshtein=0.4444; semantic=0.5486; sequence_match=0.4706,False,0.5558,False,top-3 avg score 0.5558 < final_threshold 0.7
ObjectProperty,hasBody,has wine,jaro_winkler+semantic+levenshtein,jaro_winkler=0.6190; levenshtein=0.4286; semantic=0.6117; sequence_match=0.4286,False,0.5531,False,top-3 avg score 0.5531 < final_threshold 0.7
ObjectProperty,hasFlavor,has characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6166; levenshtein=0.2941; semantic=0.6483; sequence_match=0.3846,False,0.5498,False,top-3 avg score 0.5498 < final_threshold 0.7
ObjectProperty,hasFlavor,has bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6148; levenshtein=0.3000; semantic=0.6067; sequence_match=0.4211,False,0.5475,False,top-3 avg score 0.5475 < final_threshold 0.7
ObjectProperty,hasSugar,has good vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6607; levenshtein=0.2857; semantic=0.5253; sequence_match=0.4545,False,0.5468,False,top-3 avg score 0.5468 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.3529; semantic=0.5187; sequence_match=0.4800,False,0.5461,False,top-3 avg score 0.5461 < final_threshold 0.7
ObjectProperty,hasVintageYear,has typical color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6183; levenshtein=0.3333; semantic=0.6016; sequence_match=0.4138,False,0.5446,False,top-3 avg score 0.5446 < final_threshold 0.7
ObjectProperty,hasColor,has wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6012; levenshtein=0.3750; semantic=0.6210; sequence_match=0.4000,False,0.5407,False,top-3 avg score 0.5407 < final_threshold 0.7
ObjectProperty,hasSugar,has bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6333; levenshtein=0.4000; semantic=0.5350; sequence_match=0.4444,False,0.5376,False,top-3 avg score 0.5376 < final_threshold 0.7
ObjectProperty,hasColor,has vintage year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.2857; semantic=0.6473; sequence_match=0.3636,False,0.5354,False,top-3 avg score 0.5354 < final_threshold 0.7
ObjectProperty,hasVintageYear,has color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.2857; semantic=0.6473; sequence_match=0.3636,False,0.5354,False,top-3 avg score 0.5354 < final_threshold 0.7
ObjectProperty,hasVintageYear,has region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6640; levenshtein=0.2857; semantic=0.5067; sequence_match=0.4348,False,0.5352,False,top-3 avg score 0.5352 < final_threshold 0.7
ObjectProperty,hasFlavor,has good vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6429; levenshtein=0.2857; semantic=0.6025; sequence_match=0.3478,False,0.5311,False,top-3 avg score 0.5311 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,characteristic of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6377; levenshtein=0.2941; semantic=0.5298; sequence_match=0.4242,False,0.5306,False,top-3 avg score 0.5306 < final_threshold 0.7
ObjectProperty,hasBody,has vintage year,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6190; levenshtein=0.2857; semantic=0.5905; sequence_match=0.3810,False,0.5302,False,top-3 avg score 0.5302 < final_threshold 0.7
