Gold_term,Pre_term,Method,Score
has documentation,has documentation URL,top3_avg(jaro_winkler+semantic+sequence_match),0.9256
has release date,has release date,hard_match,1.0
has support URL,has URL,top3_avg(jaro_winkler+semantic+sequence_match),0.7304
has website homepage,has homepage,top3_avg(jaro_winkler+semantic+sequence_match),0.849
has format specification,has modification,top3_avg(jaro_winkler+levenshtein+sequence_match),0.7144
has function,has documentation,top3_avg(jaro_winkler+semantic+sequence_match),0.711
has input,has input,hard_match,1.0
has license,has license,hard_match,1.0
has output,has output format,top3_avg(jaro_winkler+semantic+sequence_match),0.8343
has version,has software version,top3_avg(jaro_winkler+semantic+sequence_match),0.7982
implements,is implemented in,top3_avg(jaro_winkler+semantic+sequence_match),0.7726
is developed by,has developer,top3_avg(jaro_winkler+semantic+sequence_match),0.768
uses platform,uses algorithm,top3_avg(jaro_winkler+semantic+sequence_match),0.7177
uses software,has software type,top3_avg(jaro_winkler+semantic+sequence_match),0.7257
