Gold_term,Pre_term,Method,Score
Actuator,Actuator,hard_match,1.0
ChemicalProperty,Chemical Property,hard_match,1.0
Measurement,Measurement Aspect,top3_avg(jaro_winkler+semantic+sequence_match),0.8699641469146023
Meter,Water Meter Measurement,top3_avg(jaro_winkler+semantic+sequence_match),0.6013899445000052
Sensor,Sensor,hard_match,1.0
Tariff,Tariff,hard_match,1.0
Temporal entity,Temporal Setting,top3_avg(jaro_winkler+semantic+sequence_match),0.8260943932548521
Water,Water Indicator,top3_avg(jaro_winkler+semantic+sequence_match),0.7092799356706757
Water asset,Water Meter Tariff Assignment,top3_avg(jaro_winkler+semantic+sequence_match),0.677261706043852
Water infrastructure,Water Distribution Infrastructure,top3_avg(jaro_winkler+semantic+sequence_match),0.8478553603662903
Water meter,Water Meter,hard_match,1.0
Water property,Water Property,hard_match,1.0
