prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasColor,has color,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasVintageYear,has vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9429; levenshtein=0.7143; semantic=0.8805; sequence_match=0.8333,False,0.8856,True,selected
ObjectProperty,hasSugar,has grape,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8444; levenshtein=0.3750; semantic=0.6485; sequence_match=0.6250,False,0.706,True,selected
ObjectProperty,hasColor,is color of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8056; levenshtein=0.5556; semantic=0.8204; sequence_match=0.7059,False,0.7773,False,gold already mapped to 'has color'
ObjectProperty,hasFlavor,has color,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8250; levenshtein=0.5556; semantic=0.6852; sequence_match=0.7059,False,0.7387,False,pred already taken by 'hasColor'
ObjectProperty,hasVintageYear,is vintage of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6829; levenshtein=0.5714; semantic=0.8554; sequence_match=0.6400,False,0.7261,False,gold already mapped to 'has vintage'
ObjectProperty,madeFromGrape,has grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6261; levenshtein=0.4615; semantic=0.8078; sequence_match=0.5714,False,0.6684,False,top-3 avg score 0.6684 < final_threshold 0.7
ObjectProperty,hasBody,has color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.6722; sequence_match=0.5333,False,0.632,False,top-3 avg score 0.6320 < final_threshold 0.7
ObjectProperty,hasColor,has grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6667; levenshtein=0.3750; semantic=0.6878; sequence_match=0.5000,False,0.6182,False,top-3 avg score 0.6182 < final_threshold 0.7
ObjectProperty,hasFlavor,has grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6481; levenshtein=0.4444; semantic=0.6833; sequence_match=0.4706,False,0.6007,False,top-3 avg score 0.6007 < final_threshold 0.7
ObjectProperty,hasVintageYear,has grape,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6706; levenshtein=0.3571; semantic=0.6428; sequence_match=0.4545,False,0.5893,False,top-3 avg score 0.5893 < final_threshold 0.7
ObjectProperty,madeFromGrape,is grape of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5134; levenshtein=0.2308; semantic=0.7820; sequence_match=0.4545,False,0.5833,False,top-3 avg score 0.5833 < final_threshold 0.7
ObjectProperty,hasSugar,has color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.5000; semantic=0.5763; sequence_match=0.5000,False,0.581,False,top-3 avg score 0.5810 < final_threshold 0.7
ObjectProperty,hasFlavor,has vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6185; levenshtein=0.3000; semantic=0.6585; sequence_match=0.4211,False,0.566,False,top-3 avg score 0.5660 < final_threshold 0.7
ObjectProperty,hasSugar,has vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6417; levenshtein=0.4000; semantic=0.5748; sequence_match=0.4444,False,0.5536,False,top-3 avg score 0.5536 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6510; levenshtein=0.2941; semantic=0.5605; sequence_match=0.4444,False,0.552,False,top-3 avg score 0.5520 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.3529; semantic=0.5187; sequence_match=0.4800,False,0.5461,False,top-3 avg score 0.5461 < final_threshold 0.7
ObjectProperty,hasBody,has grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6012; levenshtein=0.3750; semantic=0.6298; sequence_match=0.4000,False,0.5437,False,top-3 avg score 0.5437 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has grape,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6454; levenshtein=0.2941; semantic=0.6442; sequence_match=0.3200,False,0.5365,False,top-3 avg score 0.5365 < final_threshold 0.7
ObjectProperty,hasVintageYear,has color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.2857; semantic=0.6473; sequence_match=0.3636,False,0.5354,False,top-3 avg score 0.5354 < final_threshold 0.7
ObjectProperty,hasFlavor,is color of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6296; levenshtein=0.2222; semantic=0.5134; sequence_match=0.4444,False,0.5292,False,top-3 avg score 0.5292 < final_threshold 0.7
ObjectProperty,hasBody,has vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5762; levenshtein=0.3000; semantic=0.6549; sequence_match=0.3529,False,0.528,False,top-3 avg score 0.5280 < final_threshold 0.7
ObjectProperty,hasColor,has vintage,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5583; levenshtein=0.3000; semantic=0.6744; sequence_match=0.3333,False,0.522,False,top-3 avg score 0.5220 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,is vintage of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5772; levenshtein=0.2353; semantic=0.5384; sequence_match=0.3571,False,0.4909,False,top-3 avg score 0.4909 < final_threshold 0.7
ObjectProperty,locatedIn,has vintage,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5519; levenshtein=0.0000; semantic=0.5223; sequence_match=0.3158,False,0.4633,False,top-3 avg score 0.4633 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,is grape of,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4766; levenshtein=0.2941; semantic=0.5956; sequence_match=0.2308,False,0.4554,False,top-3 avg score 0.4554 < final_threshold 0.7
ObjectProperty,hasVintageYear,is grape of,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5709; levenshtein=0.2143; semantic=0.5245; sequence_match=0.1739,False,0.4366,False,top-3 avg score 0.4366 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,is color of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3922; levenshtein=0.2353; semantic=0.5183; sequence_match=0.3846,False,0.4317,False,top-3 avg score 0.4317 < final_threshold 0.7
ObjectProperty,hasColor,is vintage of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4773; levenshtein=0.0909; semantic=0.5897; sequence_match=0.2105,False,0.4258,False,top-3 avg score 0.4258 < final_threshold 0.7
ObjectProperty,hasFlavor,is vintage of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5194; levenshtein=0.1818; semantic=0.5407; sequence_match=0.2000,False,0.42,False,top-3 avg score 0.4200 < final_threshold 0.7
ObjectProperty,hasBody,is color of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5026; levenshtein=0.1111; semantic=0.5015; sequence_match=0.2500,False,0.418,False,top-3 avg score 0.4180 < final_threshold 0.7
ObjectProperty,locatedIn,has grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4907; levenshtein=0.0000; semantic=0.5273; sequence_match=0.2353,False,0.4178,False,top-3 avg score 0.4178 < final_threshold 0.7
ObjectProperty,locatedIn,is vintage of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5367; levenshtein=0.0909; semantic=0.5064; sequence_match=0.2000,False,0.4144,False,top-3 avg score 0.4144 < final_threshold 0.7
ObjectProperty,madeFromGrape,has vintage,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4859; levenshtein=0.2308; semantic=0.5200; sequence_match=0.1739,False,0.4122,False,top-3 avg score 0.4122 < final_threshold 0.7
ObjectProperty,locatedIn,has color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.0000; semantic=0.5426; sequence_match=0.2353,False,0.4121,False,top-3 avg score 0.4121 < final_threshold 0.7
ObjectProperty,madeFromGrape,is vintage of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4738; levenshtein=0.0769; semantic=0.4924; sequence_match=0.2500,False,0.4054,False,top-3 avg score 0.4054 < final_threshold 0.7
ObjectProperty,hasColor,is grape of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.1111; semantic=0.5087; sequence_match=0.2353,False,0.4008,False,top-3 avg score 0.4008 < final_threshold 0.7
ObjectProperty,hasSugar,is color of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4907; levenshtein=0.1111; semantic=0.4652; sequence_match=0.2353,False,0.3971,False,top-3 avg score 0.3971 < final_threshold 0.7
ObjectProperty,madeFromGrape,has color,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4241; levenshtein=0.2308; semantic=0.5322; sequence_match=0.1905,False,0.3957,False,top-3 avg score 0.3957 < final_threshold 0.7
ObjectProperty,hasBody,is vintage of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4113; levenshtein=0.0909; semantic=0.5450; sequence_match=0.2222,False,0.3928,False,top-3 avg score 0.3928 < final_threshold 0.7
ObjectProperty,hasBody,is grape of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4762; levenshtein=0.1111; semantic=0.4522; sequence_match=0.2500,False,0.3928,False,top-3 avg score 0.3928 < final_threshold 0.7
ObjectProperty,hasFlavor,is grape of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.2222; semantic=0.4903; sequence_match=0.2222,False,0.3856,False,top-3 avg score 0.3856 < final_threshold 0.7
ObjectProperty,hasSugar,is vintage of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4381; levenshtein=0.0909; semantic=0.4804; sequence_match=0.2105,False,0.3764,False,top-3 avg score 0.3764 < final_threshold 0.7
ObjectProperty,madeFromGrape,is color of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4103; levenshtein=0.1538; semantic=0.5140; sequence_match=0.1818,False,0.3687,False,top-3 avg score 0.3687 < final_threshold 0.7
ObjectProperty,locatedIn,is grape of,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4815; levenshtein=0.1111; semantic=0.4817; sequence_match=0.1111,False,0.3581,False,top-3 avg score 0.3581 < final_threshold 0.7
ObjectProperty,hasSugar,is grape of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.0000; semantic=0.4822; sequence_match=0.1176,False,0.3527,False,top-3 avg score 0.3527 < final_threshold 0.7
ObjectProperty,locatedIn,is color of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3148; levenshtein=0.1111; semantic=0.5108; sequence_match=0.2222,False,0.3493,False,top-3 avg score 0.3493 < final_threshold 0.7
ObjectProperty,hasVintageYear,is color of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.2884; levenshtein=0.0714; semantic=0.5629; sequence_match=0.1739,False,0.3417,False,top-3 avg score 0.3417 < final_threshold 0.7
DatatypeProperty,yearValue,has year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6233; levenshtein=0.1111; semantic=0.7823; sequence_match=0.5000,False,0.6352,False,top-3 avg score 0.6352 < final_threshold 0.7
DatatypeProperty,yearValue,has bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.2000; semantic=0.5073; sequence_match=0.3158,False,0.4558,False,top-3 avg score 0.4558 < final_threshold 0.7
DatatypeProperty,yearValue,is good vintage,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5214; levenshtein=0.1538; semantic=0.5331; sequence_match=0.0909,False,0.4028,False,top-3 avg score 0.4028 < final_threshold 0.7
DatatypeProperty,yearValue,has body,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4180; levenshtein=0.1111; semantic=0.4624; sequence_match=0.1250,False,0.3351,False,top-3 avg score 0.3351 < final_threshold 0.7
