prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has achievement,has Achievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has item,has Item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has playing area,has Playing Area,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,lives in,lives In,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has game genre,has Genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9083; levenshtein=0.6667; semantic=0.8370; sequence_match=0.8000,False,0.8484,True,selected
ObjectProperty,owns achievement,defines Achievement,sequence_match+jaro_winkler+semantic,jaro_winkler=0.7348; levenshtein=0.7222; semantic=0.7259; sequence_match=0.7879,False,0.7495,True,selected
ObjectProperty,plays game,plays With,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8222; levenshtein=0.5556; semantic=0.7933; sequence_match=0.5556,False,0.7237,True,selected
ObjectProperty,is achievement in game,has Achievement Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7509; levenshtein=0.6316; semantic=0.6515; sequence_match=0.7027,False,0.7017,True,selected
ObjectProperty,has achievement,has Achievement Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9556; levenshtein=0.7778; semantic=0.7933; sequence_match=0.8750,False,0.8746,False,gold already mapped to 'has Achievement'
ObjectProperty,owns achievement,has Achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8579; levenshtein=0.8000; semantic=0.8760; sequence_match=0.8276,False,0.8538,False,pred already taken by 'has achievement'
ObjectProperty,has item,has Item Owned,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9167; levenshtein=0.5833; semantic=0.8056; sequence_match=0.7368,False,0.8197,False,gold already mapped to 'has Item'
ObjectProperty,is achievement in game,has Achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7740; levenshtein=0.5789; semantic=0.7680; sequence_match=0.7273,False,0.7564,False,pred already taken by 'has achievement'
ObjectProperty,owns item,has Item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7798; levenshtein=0.6250; semantic=0.7878; sequence_match=0.6667,False,0.7448,False,pred already taken by 'has item'
ObjectProperty,owns achievement,has Achievement Type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7944; levenshtein=0.6111; semantic=0.7089; sequence_match=0.7273,False,0.7435,False,gold already mapped to 'defines Achievement'
ObjectProperty,has achievement,defines Achievement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7024; levenshtein=0.6667; semantic=0.7732; sequence_match=0.7500,False,0.7419,False,gold already mapped to 'has Achievement'
