side,dimension,sub,sup,status,raw_pred_sub,raw_pred_sup
gold,class,Bordeaux,Wine,TP,,
gold,class,RedBordeaux,Bordeaux,FN,,
gold,class,RedBordeaux,RedWine,FN,,
gold,class,RedBordeaux,Wine,FN,,
gold,class,RedWine,Wine,TP,,
gold,class,WhiteBordeaux,Bordeaux,FN,,
gold,class,WhiteBordeaux,WhiteWine,FN,,
gold,class,WhiteBordeaux,Wine,FN,,
gold,class,WhiteWine,Wine,TP,,
gold,class,WineBody,WineDescriptor,FN,,
gold,class,WineBody,WineTaste,FN,,
gold,class,WineColor,WineDescriptor,FN,,
gold,class,WineFlavor,WineDescriptor,FN,,
gold,class,WineFlavor,WineTaste,FN,,
gold,class,WineSugar,WineDescriptor,FN,,
gold,class,WineSugar,WineTaste,FN,,
gold,class,WineTaste,WineDescriptor,FN,,
gold,class,Zinfandel,RedWine,FN,,
gold,class,Zinfandel,Wine,TP,,
pred,class,RedBordeaux,WineColor,FP,,
pred,class,WhiteBordeaux,WineColor,FP,,
pred,class,,,untranslated,Body,Characteristic
pred,class,,,untranslated,Bouquet,Characteristic
pred,class,,,untranslated,Color,Characteristic
pred,class,,,untranslated,Red,Characteristic
pred,class,,,untranslated,White,Characteristic
gold,property,hasBody,hasWineDescriptor,FN,,
gold,property,hasColor,hasWineDescriptor,FN,,
gold,property,hasFlavor,hasWineDescriptor,FN,,
gold,property,hasSugar,hasWineDescriptor,FN,,
pred,property,,,untranslated,hasBody,hasCharacteristic
pred,property,,,untranslated,hasBouquet,hasCharacteristic
