gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
RedWine,Red Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
WhiteWine,White Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
WineBody,Wine Body,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
WineColor,Wine Color,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
wine,Wine,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
Vintage,Vintage Quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.8872; sequence_match=0.6667,False,0.818,True,selected
VintageYear,Vintage Evaluation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8695; levenshtein=0.4706; semantic=0.8110; sequence_match=0.6429,False,0.7745,True,selected
Region,Wine Region,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7000; levenshtein=0.6000; semantic=0.8215; sequence_match=0.7500,False,0.7572,True,selected
WineGrape,Wine Variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8543; levenshtein=0.4545; semantic=0.7972; sequence_match=0.6000,False,0.7505,True,selected
WineTaste,Wine Vintage Instance,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8725; levenshtein=0.4737; semantic=0.7004; sequence_match=0.6429,False,0.7386,True,selected
WineDescriptor,Wine Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8248; levenshtein=0.4444; semantic=0.6771; sequence_match=0.5000,False,0.6673,True,selected
WineSugar,Wine Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6700; levenshtein=0.4545; semantic=0.6861; sequence_match=0.5000,False,0.6187,True,selected
WineBody,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.8164; sequence_match=0.6667,False,0.7943,False,gold already mapped to 'Wine Body'
wine,Wine Body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.8164; sequence_match=0.6667,False,0.7943,False,gold already mapped to 'Wine'
WineGrape,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.8744; sequence_match=0.6154,False,0.7929,False,pred already taken by 'wine' (higher averaged score)
WineTaste,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.8459; sequence_match=0.6154,False,0.7834,False,pred already taken by 'wine' (higher averaged score)
WineFlavor,Wine Color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8670; levenshtein=0.6000; semantic=0.7449; sequence_match=0.7368,False,0.7829,False,pred already taken by 'WineColor' (higher averaged score)
VintageYear,Vintage Quality,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8700; levenshtein=0.5714; semantic=0.8249; sequence_match=0.6400,False,0.7783,False,pred already taken by 'Vintage' (higher averaged score)
WineSugar,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.7925; sequence_match=0.6154,False,0.7656,False,pred already taken by 'wine' (higher averaged score)
WineColor,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.7918; sequence_match=0.6154,False,0.7654,False,gold already mapped to 'Wine Color'
wine,Wine Color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.4444; semantic=0.7918; sequence_match=0.6154,False,0.7654,False,gold already mapped to 'Wine'
Vintage,Vintage Evaluation,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8824; levenshtein=0.4118; semantic=0.8084; sequence_match=0.5833,False,0.758,False,gold already mapped to 'Vintage Quality'
WineFlavor,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8800; levenshtein=0.4000; semantic=0.7979; sequence_match=0.5714,False,0.7498,False,pred already taken by 'wine' (higher averaged score)
wine,Wine Variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8727; levenshtein=0.3636; semantic=0.8236; sequence_match=0.5333,False,0.7432,False,gold already mapped to 'Wine'
wine,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8800; levenshtein=0.4000; semantic=0.7772; sequence_match=0.5714,False,0.7429,False,gold already mapped to 'Wine'
WineTaste,Wine Variety,jaro_winkler+semantic+levenshtein,jaro_winkler=0.8543; levenshtein=0.5455; semantic=0.8174; sequence_match=0.5000,False,0.739,False,pred already taken by 'WineGrape' (higher averaged score)
WineBody,Wine Bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8591; levenshtein=0.5455; semantic=0.7077; sequence_match=0.6316,False,0.7328,False,gold already mapped to 'Wine Body'
WhiteBordeaux,White Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8256; levenshtein=0.4615; semantic=0.8189; sequence_match=0.5455,False,0.73,False,pred already taken by 'WhiteWine' (higher averaged score)
wine,Wine Bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8727; levenshtein=0.3636; semantic=0.7766; sequence_match=0.5333,False,0.7275,False,gold already mapped to 'Wine'
WineFlavor,Wine Variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8387; levenshtein=0.3636; semantic=0.7688; sequence_match=0.5714,False,0.7263,False,pred already taken by 'WineGrape' (higher averaged score)
WineSugar,Wine Variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8424; levenshtein=0.3636; semantic=0.7240; sequence_match=0.6000,False,0.7221,False,pred already taken by 'WineGrape' (higher averaged score)
RedWine,Wine,semantic+sequence_match+levenshtein,jaro_winkler=0.4643; levenshtein=0.5714; semantic=0.8511; sequence_match=0.7273,False,0.7166,False,gold already mapped to 'Red Wine'
wine,Red Wine,semantic+sequence_match+levenshtein,jaro_winkler=0.4643; levenshtein=0.5714; semantic=0.8511; sequence_match=0.7273,False,0.7166,False,gold already mapped to 'Wine'
WineTaste,Wine Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8556; levenshtein=0.3889; semantic=0.7669; sequence_match=0.5185,False,0.7137,False,gold already mapped to 'Wine Vintage Instance'
WineGrape,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8670; levenshtein=0.4000; semantic=0.7423; sequence_match=0.5263,False,0.7119,False,gold already mapped to 'Wine Variety'
WineGrape,Wine Color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8222; levenshtein=0.4444; semantic=0.7574; sequence_match=0.5556,False,0.7117,False,gold already mapped to 'Wine Variety'
WineBody,Wine Color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8361; levenshtein=0.5556; semantic=0.6950; sequence_match=0.5882,False,0.7065,False,gold already mapped to 'Wine Body'
WineColor,Wine Body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8361; levenshtein=0.5556; semantic=0.6950; sequence_match=0.5882,False,0.7065,False,gold already mapped to 'Wine Color'
WhiteWine,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6944; levenshtein=0.4444; semantic=0.7946; sequence_match=0.6154,False,0.7015,False,gold already mapped to 'White Wine'
wine,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6944; levenshtein=0.4444; semantic=0.7946; sequence_match=0.6154,False,0.7015,False,gold already mapped to 'Wine'
WineFlavor,Wine Body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8250; levenshtein=0.4000; semantic=0.7008; sequence_match=0.5556,False,0.6938,False,pred already taken by 'WineBody' (higher averaged score)
WineSugar,Wine Color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8222; levenshtein=0.5556; semantic=0.6949; sequence_match=0.5556,False,0.6909,False,pred already taken by 'WineColor' (higher averaged score)
WineDescriptor,Wine Color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8270; levenshtein=0.5000; semantic=0.6281; sequence_match=0.6087,False,0.6879,False,pred already taken by 'WineColor' (higher averaged score)
WineDescriptor,Wine Variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8347; levenshtein=0.5000; semantic=0.6565; sequence_match=0.5600,False,0.6837,False,pred already taken by 'WineGrape' (higher averaged score)
WineBody,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8250; levenshtein=0.4000; semantic=0.6699; sequence_match=0.5556,False,0.6835,False,gold already mapped to 'Wine Body'
RedWine,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6899; levenshtein=0.4444; semantic=0.7269; sequence_match=0.6250,False,0.6806,False,gold already mapped to 'Red Wine'
WhiteWine,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6899; levenshtein=0.4444; semantic=0.7269; sequence_match=0.6250,False,0.6806,False,gold already mapped to 'White Wine'
WineColor,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8200; levenshtein=0.5000; semantic=0.6874; sequence_match=0.5263,False,0.6779,False,gold already mapped to 'Wine Color'
WineDescriptor,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8493; levenshtein=0.5000; semantic=0.5955; sequence_match=0.5833,False,0.676,False,pred already taken by 'Region' (higher averaged score)
WineDescriptor,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8571; levenshtein=0.2857; semantic=0.7084; sequence_match=0.4444,False,0.67,False,pred already taken by 'wine' (higher averaged score)
WineSugar,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8200; levenshtein=0.5000; semantic=0.6540; sequence_match=0.5263,False,0.6668,False,pred already taken by 'Region' (higher averaged score)
wine,Wine Vintage Instance,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8421; levenshtein=0.2105; semantic=0.8007; sequence_match=0.3478,False,0.6635,False,gold already mapped to 'Wine'
wine,Wine Characteristic,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8444; levenshtein=0.2222; semantic=0.7644; sequence_match=0.3636,False,0.6575,False,gold already mapped to 'Wine'
WhiteBordeaux,Wine Body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7635; levenshtein=0.4615; semantic=0.6117; sequence_match=0.5714,False,0.6489,False,pred already taken by 'WineBody' (higher averaged score)
WineColor,Wine Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6700; levenshtein=0.3636; semantic=0.7765; sequence_match=0.5000,False,0.6489,False,gold already mapped to 'Wine Color'
RedBordeaux,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6450; levenshtein=0.3636; semantic=0.8567; sequence_match=0.4444,False,0.6487,False,pred already taken by 'RedWine' (higher averaged score)
WineGrape,Wine Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6700; levenshtein=0.4545; semantic=0.7708; sequence_match=0.5000,False,0.647,False,gold already mapped to 'Wine Variety'
WineGrape,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6233; levenshtein=0.2222; semantic=0.8143; sequence_match=0.5000,False,0.6459,False,gold already mapped to 'Wine Variety'
WineTaste,Wine Region,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6852; levenshtein=0.4000; semantic=0.7232; sequence_match=0.5263,False,0.6449,False,gold already mapped to 'Wine Vintage Instance'
WineBody,Wine Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6932; levenshtein=0.4545; semantic=0.7134; sequence_match=0.5263,False,0.6443,False,gold already mapped to 'Wine Body'
WineGrape,Wine Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6746; levenshtein=0.3889; semantic=0.7388; sequence_match=0.5185,False,0.644,False,gold already mapped to 'Wine Variety'
WineTaste,Wine Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6818; levenshtein=0.4545; semantic=0.7231; sequence_match=0.5000,False,0.635,False,gold already mapped to 'Wine Vintage Instance'
VintageYear,Wine Vintage Instance,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6528; levenshtein=0.4211; semantic=0.7166; sequence_match=0.5333,False,0.6343,False,gold already mapped to 'Vintage Evaluation'
WineGrape,Wine Vintage Instance,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6678; levenshtein=0.3684; semantic=0.7274; sequence_match=0.5000,False,0.6317,False,gold already mapped to 'Wine Variety'
Region,Red Wine,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7968; levenshtein=0.4286; semantic=0.4815; sequence_match=0.6154,False,0.6313,False,gold already mapped to 'Wine Region'
WineTaste,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6233; levenshtein=0.2222; semantic=0.7641; sequence_match=0.5000,False,0.6291,False,gold already mapped to 'Wine Vintage Instance'
WineGrape,Wine Body,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6481; levenshtein=0.4444; semantic=0.7578; sequence_match=0.4706,False,0.6255,False,gold already mapped to 'Wine Variety'
RedWine,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7079; levenshtein=0.2000; semantic=0.6945; sequence_match=0.4706,False,0.6243,False,gold already mapped to 'Red Wine'
Vintage,Wine Vintage Instance,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6466; levenshtein=0.3684; semantic=0.6827; sequence_match=0.5385,False,0.6226,False,gold already mapped to 'Vintage Quality'
WineTaste,Wine Body,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6481; levenshtein=0.4444; semantic=0.7447; sequence_match=0.4706,False,0.6212,False,gold already mapped to 'Wine Vintage Instance'
WineFlavor,Wine Region,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6667; levenshtein=0.5000; semantic=0.6902; sequence_match=0.5000,False,0.6189,False,pred already taken by 'Region' (higher averaged score)
WineTaste,Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6296; levenshtein=0.4444; semantic=0.7754; sequence_match=0.4444,False,0.6165,False,gold already mapped to 'Wine Vintage Instance'
WineColor,Wine Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6700; levenshtein=0.4545; semantic=0.6794; sequence_match=0.5000,False,0.6165,False,gold already mapped to 'Wine Color'
WineFlavor,Wine Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6515; levenshtein=0.3636; semantic=0.7064; sequence_match=0.4762,False,0.6114,False,pred already taken by 'WineSugar' (higher averaged score)
WineGrape,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6296; levenshtein=0.3333; semantic=0.7586; sequence_match=0.4444,False,0.6109,False,gold already mapped to 'Wine Variety'
WineSugar,Wine Body,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6481; levenshtein=0.4444; semantic=0.6981; sequence_match=0.4706,False,0.6056,False,gold already mapped to 'Wine Bouquet'
WineColor,Wine Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6667; levenshtein=0.3333; semantic=0.7046; sequence_match=0.4444,False,0.6052,False,gold already mapped to 'Wine Color'
WhiteBordeaux,Wine Bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6773; levenshtein=0.3846; semantic=0.6345; sequence_match=0.5000,False,0.6039,False,pred already taken by 'WineSugar' (higher averaged score)
WineTaste,White Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6370; levenshtein=0.3333; semantic=0.7233; sequence_match=0.4444,False,0.6016,False,gold already mapped to 'Wine Vintage Instance'
VintageYear,Wine Variety,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6932; levenshtein=0.2727; semantic=0.6505; sequence_match=0.4545,False,0.5994,False,top-3 avg score 0.5994 < final_threshold 0.6
RedWine,Wine Body,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5238; levenshtein=0.1250; semantic=0.7365; sequence_match=0.5333,False,0.5979,False,top-3 avg score 0.5979 < final_threshold 0.6
WineBody,Red Wine,semantic+sequence_match+jaro_winkler,jaro_winkler=0.5238; levenshtein=0.1250; semantic=0.7365; sequence_match=0.5333,False,0.5979,False,top-3 avg score 0.5979 < final_threshold 0.6
WineSugar,Wine Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6667; levenshtein=0.3333; semantic=0.6790; sequence_match=0.4444,False,0.5967,False,top-3 avg score 0.5967 < final_threshold 0.6
WhiteWine,Wine Region,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7300; levenshtein=0.3000; semantic=0.6344; sequence_match=0.4211,False,0.5952,False,top-3 avg score 0.5952 < final_threshold 0.6
WineFlavor,Wine Characteristic,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6444; levenshtein=0.3333; semantic=0.7115; sequence_match=0.4286,False,0.5948,False,top-3 avg score 0.5948 < final_threshold 0.6
RedWine,Wine Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5896; levenshtein=0.1818; semantic=0.7425; sequence_match=0.4444,False,0.5922,False,top-3 avg score 0.5922 < final_threshold 0.6
WhiteWine,Wine Variety,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6700; levenshtein=0.2727; semantic=0.7005; sequence_match=0.4000,False,0.5902,False,top-3 avg score 0.5902 < final_threshold 0.6
WhiteBordeaux,Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6467; levenshtein=0.3077; semantic=0.6635; sequence_match=0.4545,False,0.5883,False,top-3 avg score 0.5883 < final_threshold 0.6
RedWine,Wine Color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5053; levenshtein=0.1111; semantic=0.7585; sequence_match=0.5000,False,0.5879,False,top-3 avg score 0.5879 < final_threshold 0.6
WineColor,Red Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5053; levenshtein=0.1111; semantic=0.7585; sequence_match=0.5000,False,0.5879,False,top-3 avg score 0.5879 < final_threshold 0.6
Vintage,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.4286; semantic=0.6225; sequence_match=0.5455,False,0.5877,False,top-3 avg score 0.5877 < final_threshold 0.6
RedWine,Wine Bouquet,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5896; levenshtein=0.1818; semantic=0.7151; sequence_match=0.4444,False,0.5831,False,top-3 avg score 0.5831 < final_threshold 0.6
WineDescriptor,Wine Body,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6607; levenshtein=0.2857; semantic=0.6182; sequence_match=0.4545,False,0.5778,False,top-3 avg score 0.5778 < final_threshold 0.6
Zinfandel,Wine,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5741; levenshtein=0.3333; semantic=0.6978; sequence_match=0.4615,False,0.5778,False,top-3 avg score 0.5778 < final_threshold 0.6
VintageYear,Wine,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6742; levenshtein=0.2727; semantic=0.6573; sequence_match=0.4000,False,0.5772,False,top-3 avg score 0.5772 < final_threshold 0.6
