prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,hasColor,has color,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,madeFromGrape,made from grape,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,hasColor,is color of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8056; levenshtein=0.5556; semantic=0.8204; sequence_match=0.7059,False,0.7773,False,gold already mapped to 'has color'
ObjectProperty,hasFlavor,has color,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8250; levenshtein=0.5556; semantic=0.6852; sequence_match=0.7059,False,0.7387,False,pred already taken by 'hasColor'
ObjectProperty,hasBody,has color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6905; levenshtein=0.5000; semantic=0.6722; sequence_match=0.5333,False,0.632,False,top-3 avg score 0.6320 < final_threshold 0.7
ObjectProperty,locatedIn,produced in,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7000; levenshtein=0.5000; semantic=0.4622; sequence_match=0.6316,False,0.6105,False,top-3 avg score 0.6105 < final_threshold 0.7
ObjectProperty,madeFromGrape,is grape of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5134; levenshtein=0.2308; semantic=0.7820; sequence_match=0.4545,False,0.5833,False,top-3 avg score 0.5833 < final_threshold 0.7
ObjectProperty,hasSugar,has color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6667; levenshtein=0.5000; semantic=0.5763; sequence_match=0.5000,False,0.581,False,top-3 avg score 0.5810 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,has color,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6397; levenshtein=0.3529; semantic=0.5187; sequence_match=0.4800,False,0.5461,False,top-3 avg score 0.5461 < final_threshold 0.7
ObjectProperty,hasVintageYear,has color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5952; levenshtein=0.2857; semantic=0.6473; sequence_match=0.3636,False,0.5354,False,top-3 avg score 0.5354 < final_threshold 0.7
ObjectProperty,hasFlavor,is color of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6296; levenshtein=0.2222; semantic=0.5134; sequence_match=0.4444,False,0.5292,False,top-3 avg score 0.5292 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,made from grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5548; levenshtein=0.1765; semantic=0.5991; sequence_match=0.3333,False,0.4957,False,top-3 avg score 0.4957 < final_threshold 0.7
ObjectProperty,hasFlavor,made from grape,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5801; levenshtein=0.2308; semantic=0.5460; sequence_match=0.2727,False,0.4662,False,top-3 avg score 0.4662 < final_threshold 0.7
ObjectProperty,locatedIn,produces,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5648; levenshtein=0.1111; semantic=0.4675; sequence_match=0.3529,False,0.4618,False,top-3 avg score 0.4618 < final_threshold 0.7
ObjectProperty,hasSugar,made from grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5192; levenshtein=0.2308; semantic=0.5676; sequence_match=0.2857,False,0.4575,False,top-3 avg score 0.4575 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,is grape of,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4766; levenshtein=0.2941; semantic=0.5956; sequence_match=0.2308,False,0.4554,False,top-3 avg score 0.4554 < final_threshold 0.7
ObjectProperty,hasVintageYear,is grape of,jaro_winkler+semantic+levenshtein,jaro_winkler=0.5709; levenshtein=0.2143; semantic=0.5245; sequence_match=0.1739,False,0.4366,False,top-3 avg score 0.4366 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,is color of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3922; levenshtein=0.2353; semantic=0.5183; sequence_match=0.3846,False,0.4317,False,top-3 avg score 0.4317 < final_threshold 0.7
ObjectProperty,hasVintageYear,made from grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5189; levenshtein=0.1429; semantic=0.5305; sequence_match=0.2222,False,0.4239,False,top-3 avg score 0.4239 < final_threshold 0.7
ObjectProperty,hasBody,produces,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5119; levenshtein=0.0000; semantic=0.4909; sequence_match=0.2667,False,0.4231,False,top-3 avg score 0.4231 < final_threshold 0.7
ObjectProperty,hasBody,is color of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5026; levenshtein=0.1111; semantic=0.5015; sequence_match=0.2500,False,0.418,False,top-3 avg score 0.4180 < final_threshold 0.7
ObjectProperty,madeFromGrape,produces,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4359; levenshtein=0.1538; semantic=0.5230; sequence_match=0.2857,False,0.4149,False,top-3 avg score 0.4149 < final_threshold 0.7
ObjectProperty,hasColor,made from grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4241; levenshtein=0.2308; semantic=0.5322; sequence_match=0.2857,False,0.414,False,top-3 avg score 0.4140 < final_threshold 0.7
ObjectProperty,locatedIn,has color,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.0000; semantic=0.5426; sequence_match=0.2353,False,0.4121,False,top-3 avg score 0.4121 < final_threshold 0.7
ObjectProperty,locatedIn,made from grape,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5007; levenshtein=0.0000; semantic=0.4416; sequence_match=0.2727,False,0.405,False,top-3 avg score 0.4050 < final_threshold 0.7
ObjectProperty,hasColor,is grape of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.1111; semantic=0.5087; sequence_match=0.2353,False,0.4008,False,top-3 avg score 0.4008 < final_threshold 0.7
ObjectProperty,hasSugar,is color of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4907; levenshtein=0.1111; semantic=0.4652; sequence_match=0.2353,False,0.3971,False,top-3 avg score 0.3971 < final_threshold 0.7
ObjectProperty,madeFromGrape,has color,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4241; levenshtein=0.2308; semantic=0.5322; sequence_match=0.1905,False,0.3957,False,top-3 avg score 0.3957 < final_threshold 0.7
ObjectProperty,hasBody,is grape of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4762; levenshtein=0.1111; semantic=0.4522; sequence_match=0.2500,False,0.3928,False,top-3 avg score 0.3928 < final_threshold 0.7
ObjectProperty,madeFromGrape,produced in,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4026; levenshtein=0.0769; semantic=0.5056; sequence_match=0.2609,False,0.3897,False,top-3 avg score 0.3897 < final_threshold 0.7
ObjectProperty,hasFlavor,is grape of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4444; levenshtein=0.2222; semantic=0.4903; sequence_match=0.2222,False,0.3856,False,top-3 avg score 0.3856 < final_threshold 0.7
ObjectProperty,hasBody,produced in,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4952; levenshtein=0.1000; semantic=0.3899; sequence_match=0.2353,False,0.3735,False,top-3 avg score 0.3735 < final_threshold 0.7
ObjectProperty,hasBody,made from grape,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4420; levenshtein=0.1538; semantic=0.4652; sequence_match=0.2000,False,0.3691,False,top-3 avg score 0.3691 < final_threshold 0.7
ObjectProperty,madeFromGrape,is color of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4103; levenshtein=0.1538; semantic=0.5140; sequence_match=0.1818,False,0.3687,False,top-3 avg score 0.3687 < final_threshold 0.7
ObjectProperty,locatedIn,is grape of,semantic+jaro_winkler+levenshtein,jaro_winkler=0.4815; levenshtein=0.1111; semantic=0.4817; sequence_match=0.1111,False,0.3581,False,top-3 avg score 0.3581 < final_threshold 0.7
ObjectProperty,hasVintageYear,produced in,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3937; levenshtein=0.0714; semantic=0.5009; sequence_match=0.1667,False,0.3537,False,top-3 avg score 0.3537 < final_threshold 0.7
ObjectProperty,hasSugar,is grape of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4583; levenshtein=0.0000; semantic=0.4822; sequence_match=0.1176,False,0.3527,False,top-3 avg score 0.3527 < final_threshold 0.7
ObjectProperty,locatedIn,is color of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3148; levenshtein=0.1111; semantic=0.5108; sequence_match=0.2222,False,0.3493,False,top-3 avg score 0.3493 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,produces,jaro_winkler+semantic+sequence_match,jaro_winkler=0.4118; levenshtein=0.1176; semantic=0.3874; sequence_match=0.2400,False,0.3464,False,top-3 avg score 0.3464 < final_threshold 0.7
ObjectProperty,hasVintageYear,is color of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.2884; levenshtein=0.0714; semantic=0.5629; sequence_match=0.1739,False,0.3417,False,top-3 avg score 0.3417 < final_threshold 0.7
ObjectProperty,hasSugar,produces,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4167; levenshtein=0.1250; semantic=0.4755; sequence_match=0.1250,False,0.339,False,top-3 avg score 0.3390 < final_threshold 0.7
ObjectProperty,hasWineDescriptor,produced in,jaro_winkler+semantic+levenshtein,jaro_winkler=0.4647; levenshtein=0.1765; semantic=0.3575; sequence_match=0.1481,False,0.3329,False,top-3 avg score 0.3329 < final_threshold 0.7
ObjectProperty,hasColor,produces,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3333; levenshtein=0.0000; semantic=0.5054; sequence_match=0.1250,False,0.3212,False,top-3 avg score 0.3212 < final_threshold 0.7
ObjectProperty,hasSugar,produced in,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4083; levenshtein=0.1000; semantic=0.4093; sequence_match=0.1111,False,0.3096,False,top-3 avg score 0.3096 < final_threshold 0.7
ObjectProperty,hasVintageYear,produces,semantic+jaro_winkler+sequence_match,jaro_winkler=0.2976; levenshtein=0.0714; semantic=0.4733; sequence_match=0.0909,False,0.2873,False,top-3 avg score 0.2873 < final_threshold 0.7
ObjectProperty,hasColor,produced in,semantic+jaro_winkler+sequence_match,jaro_winkler=0.3167; levenshtein=0.1000; semantic=0.4285; sequence_match=0.1111,False,0.2854,False,top-3 avg score 0.2854 < final_threshold 0.7
ObjectProperty,hasFlavor,produces,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.5050; sequence_match=0.1176,False,0.2075,False,top-3 avg score 0.2075 < final_threshold 0.7
ObjectProperty,hasFlavor,produced in,semantic+sequence_match+levenshtein,jaro_winkler=0.0000; levenshtein=0.0000; semantic=0.4380; sequence_match=0.1053,False,0.1811,False,top-3 avg score 0.1811 < final_threshold 0.7
DatatypeProperty,yearValue,has vintage year,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5767; levenshtein=0.2143; semantic=0.6890; sequence_match=0.3478,False,0.5379,False,top-3 avg score 0.5379 < final_threshold 0.7
DatatypeProperty,yearValue,has bouquet,jaro_winkler+semantic+sequence_match,jaro_winkler=0.5444; levenshtein=0.2000; semantic=0.5073; sequence_match=0.3158,False,0.4558,False,top-3 avg score 0.4558 < final_threshold 0.7
DatatypeProperty,yearValue,is good vintage,semantic+jaro_winkler+levenshtein,jaro_winkler=0.5214; levenshtein=0.1538; semantic=0.5331; sequence_match=0.0909,False,0.4028,False,top-3 avg score 0.4028 < final_threshold 0.7
DatatypeProperty,yearValue,has body,semantic+jaro_winkler+sequence_match,jaro_winkler=0.4180; levenshtein=0.1111; semantic=0.4624; sequence_match=0.1250,False,0.3351,False,top-3 avg score 0.3351 < final_threshold 0.7
