Gold_term,Pre_term,Method,Score
has fabrication number,fabrication number,top3_avg(jaro_winkler+semantic+sequence_match),0.9139
has firmware version,firmware version,top3_avg(jaro_winkler+semantic+sequence_match),0.903
has hardware version,hardware version,top3_avg(jaro_winkler+semantic+sequence_match),0.9228
has manufacturer,manufacturer,top3_avg(jaro_winkler+semantic+sequence_match),0.8869
has model,model,top3_avg(jaro_winkler+semantic+sequence_match),0.8411
has start timestamp,start timestamp,top3_avg(levenshtein+semantic+sequence_match),0.8859
has version,version,top3_avg(jaro_winkler+semantic+sequence_match),0.8461
has billing period,has billing period,hard_match,1.0
has measurement,is measurement of,top3_avg(jaro_winkler+semantic+sequence_match),0.8387
has property,has physical property,top3_avg(jaro_winkler+semantic+sequence_match),0.7886
is measured by device,is measured property of,top3_avg(jaro_winkler+semantic+sequence_match),0.7301
makes measurement,provides measurement,top3_avg(jaro_winkler+semantic+sequence_match),0.8232
