PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
DatatypeProperty,release date,has release date,releasedate,hasreleasedate,DatatypeProperty,DatatypeProperty,tp,Game,Game,game,game,tp,xsd:dateTime,xsd:http://www.semanticweb.org/myontology#date,xsddatetime,date,mismatch,NO,
DatatypeProperty,username,has username,username,hasusername,DatatypeProperty,DatatypeProperty,tp,Player,Player,player,player,tp,xsd:string,xsd:http://www.semanticweb.org/myontology#string,xsdstring,string,tp,YES,
ObjectProperty,has achievement,has achievement,hasachievement,hasachievement,ObjectProperty,ObjectProperty,tp,Game,Player,game,player,mismatch,Achievement,Achievement,achievement,achievement,tp,NO,
ObjectProperty,has game genre,has genre,hasgamegenre,hasgenre,ObjectProperty,ObjectProperty,tp,Game,Game,game,game,tp,Genre,Genre,genre,genre,tp,YES,
ObjectProperty,has item,has item,hasitem,hasitem,ObjectProperty,ObjectProperty,tp,Game,Game,game,game,tp,Item,Item,item,item,tp,YES,
ObjectProperty,has playing area,has playing area,hasplayingarea,hasplayingarea,ObjectProperty,ObjectProperty,tp,Game,Game,game,game,tp,playing area,Playing Area,playingarea,playingarea,tp,YES,
ObjectProperty,involves player,uses player,involvesplayer,usesplayer,ObjectProperty,ObjectProperty,tp,Session,Player Item Usage,session,playeritemusage,mismatch,Player,Player,player,player,tp,NO,
ObjectProperty,is achievement in game,game has achievement,isachievementingame,gamehasachievement,ObjectProperty,ObjectProperty,tp,Achievement,Game,achievement,game,mismatch,Game,Achievement,game,achievement,mismatch,NO,
ObjectProperty,is session in game,session for game,issessioningame,sessionforgame,ObjectProperty,ObjectProperty,tp,Session,Game Play Session,session,gameplaysession,tp,Game,Game,game,game,tp,YES,
ObjectProperty,owns item,owns item,ownsitem,ownsitem,ObjectProperty,ObjectProperty,tp,Character,Player,character,player,mismatch,Item,Item,item,item,tp,NO,
ObjectProperty,plays game,plays game,playsgame,playsgame,ObjectProperty,ObjectProperty,tp,Player,Player,player,player,tp,Game,Game,game,game,tp,YES,
ObjectProperty,purchases game offering,purchases game,purchasesgameoffering,purchasesgame,ObjectProperty,ObjectProperty,tp,in-app purchase event,In App Purchase,inapppurchaseevent,inapppurchase,tp,game product,Game,gameproduct,game,mismatch,NO,
