Gold_term,Pre_term,Method,Score
has fabrication number,fabrication number,top3_avg(jaro_winkler+semantic+sequence_match),0.9139
has firmware version,firmware version,top3_avg(jaro_winkler+semantic+sequence_match),0.903
has manufacturer,manufacturer,top3_avg(jaro_winkler+semantic+sequence_match),0.8869
has model,model,top3_avg(jaro_winkler+semantic+sequence_match),0.8411
has timestamp,recording timestamp,top3_avg(jaro_winkler+semantic+sequence_match),0.7105
has version,version,top3_avg(jaro_winkler+semantic+sequence_match),0.8461
applies to,applies to meter,top3_avg(jaro_winkler+semantic+sequence_match),0.8212
has billing period,has billing period,hard_match,1.0
has period,has tariff period,top3_avg(jaro_winkler+semantic+sequence_match),0.7762
has property,has physical property,top3_avg(jaro_winkler+semantic+sequence_match),0.7886
makes measurement,provides measurement,top3_avg(jaro_winkler+semantic+sequence_match),0.8232
