PropertyType,GoldPredicate,PredPredicate,GoldPredicateNorm,PredPredicateNorm,GoldType,PredType,TypeVerdict,GoldDomain,PredDomain,GoldDomainNorm,PredDomainNorm,DomainStatus,GoldRange,PredRange,GoldRangeNorm,PredRangeNorm,RangeStatus,FullMatch,Note
DatatypeProperty,has fabrication number,Fabrication Number,hasfabricationnumber,fabricationnumber,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:string,literal,xsdstring,mismatch,NO,
DatatypeProperty,has firmware version,Firmware Version,hasfirmwareversion,firmwareversion,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:string,literal,xsdstring,mismatch,NO,
DatatypeProperty,has hardware version,Hardware Version,hashardwareversion,hardwareversion,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:string,literal,xsdstring,mismatch,NO,
DatatypeProperty,has manufacturer,Manufacturer,hasmanufacturer,manufacturer,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,,xsd:string,,xsdstring,fp,NO,
DatatypeProperty,has model,Model,hasmodel,model,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,,xsd:string,,xsdstring,fp,NO,
DatatypeProperty,has version,Version,hasversion,version,DatatypeProperty,DatatypeProperty,tp,,Water Meter,,watermeter,fp,xsd:http://www.w3.org/2000/01/rdf-schema#literal,xsd:string,literal,xsdstring,mismatch,NO,
ObjectProperty,has billing period,has Billing,hasbillingperiod,hasbilling,ObjectProperty,ObjectProperty,tp,Tariff,Water Meter,tariff,watermeter,mismatch,Temporal duration,Billing,temporalduration,billing,mismatch,NO,
ObjectProperty,has property,has Physical Property,hasproperty,hasphysicalproperty,ObjectProperty,ObjectProperty,tp,,Water,,water,fp,,Physical Property,,physicalproperty,fp,NO,
ObjectProperty,is measured by device,is Measured By,ismeasuredbydevice,ismeasuredby,ObjectProperty,ObjectProperty,tp,,Water Property,,waterproperty,fp,,Water Meter,,watermeter,fp,NO,
ObjectProperty,measurement made by,measures,measurementmadeby,measures,ObjectProperty,ObjectProperty,tp,,Water Meter,,watermeter,fp,,Water Property,,waterproperty,fp,NO,
