prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,constraint,Has Constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9340; sequence_match=0.8696,False,0.8755,True,selected
ObjectProperty,consequence,Has Consequence,sequence_match+jaro_winkler+semantic,jaro_winkler=0.8680; levenshtein=0.7857; semantic=0.8598; sequence_match=0.8800,False,0.8693,True,selected
ObjectProperty,operator,Has Operator,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8258; levenshtein=0.7273; semantic=0.9131; sequence_match=0.8421,False,0.8603,True,selected
ObjectProperty,remedy,Has Remedy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8889; levenshtein=0.6667; semantic=0.8339; sequence_match=0.8000,False,0.8409,True,selected
ObjectProperty,permission,In Permission Duty,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7750; levenshtein=0.6250; semantic=0.8164; sequence_match=0.7692,False,0.7869,True,selected
ObjectProperty,constraint,Has Sub Constraint,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7750; levenshtein=0.6250; semantic=0.7989; sequence_match=0.7692,False,0.781,False,gold already mapped to 'Has Constraint'
ObjectProperty,andSequence,Has Consequence,sequence_match+jaro_winkler+levenshtein,jaro_winkler=0.7411; levenshtein=0.6429; semantic=0.4854; sequence_match=0.8000,False,0.728,False,pred already taken by 'consequence'
ObjectProperty,hasPolicy,Has Role,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8296; levenshtein=0.5556; semantic=0.6277; sequence_match=0.6250,False,0.6941,False,top-3 avg score 0.6941 < final_threshold 0.7
ObjectProperty,hasPolicy,Has Party,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8361; levenshtein=0.5556; semantic=0.5838; sequence_match=0.5882,False,0.6694,False,top-3 avg score 0.6694 < final_threshold 0.7
ObjectProperty,implies,Applies To,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7566; levenshtein=0.5556; semantic=0.5757; sequence_match=0.6250,False,0.6524,False,top-3 avg score 0.6524 < final_threshold 0.7
ObjectProperty,conflict,Has Conflict Resolution Strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7586; levenshtein=0.2759; semantic=0.7470; sequence_match=0.4324,False,0.646,False,top-3 avg score 0.6460 < final_threshold 0.7
ObjectProperty,operand,Has Operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5896; levenshtein=0.4545; semantic=0.7565; sequence_match=0.5556,False,0.6339,False,top-3 avg score 0.6339 < final_threshold 0.7
ObjectProperty,relation,Results In Loss,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8055; levenshtein=0.3846; semantic=0.4671; sequence_match=0.5714,False,0.6147,False,top-3 avg score 0.6147 < final_threshold 0.7
ObjectProperty,action,Activated Upon Failure Of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8545; levenshtein=0.2727; semantic=0.5366; sequence_match=0.4286,False,0.6066,False,top-3 avg score 0.6066 < final_threshold 0.7
ObjectProperty,scope,Has Operator,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7212; levenshtein=0.2727; semantic=0.5825; sequence_match=0.5000,False,0.6012,False,top-3 avg score 0.6012 < final_threshold 0.7
ObjectProperty,prohibition,From Specification,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.7455; levenshtein=0.4706; semantic=0.4427; sequence_match=0.5714,False,0.5958,False,top-3 avg score 0.5958 < final_threshold 0.7
ObjectProperty,hasPolicy,Has Right Duty,jaro_winkler+semantic+sequence_match,jaro_winkler=0.6574; levenshtein=0.3333; semantic=0.6185; sequence_match=0.4762,False,0.584,False,top-3 avg score 0.5840 < final_threshold 0.7
ObjectProperty,leftOperand,Has Operator,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5697; levenshtein=0.3636; semantic=0.7259; sequence_match=0.4545,False,0.5834,False,top-3 avg score 0.5834 < final_threshold 0.7
