cq_id,covered,fully_covered,n_tp,n_axioms,rate,tp_axiom_ids,missing_axiom_ids
CQ04,true,false,2,4,0.5000,AX21;AX61,AX62;AX74
CQ05,true,false,2,4,0.5000,AX21;AX61,AX62;AX74
CQ06,true,false,2,11,0.1818,AX81;AX83,AX19;AX20;AX42;AX69;AX70;AX74;AX78;AX80;AX82
CQ07,true,false,2,7,0.2857,AX45;AX46,AX22;AX23;AX27;AX74;AX77
CQ08,false,false,0,4,0.0000,,AX16;AX69;AX70;AX74
CQ11,true,false,4,6,0.6667,AX45;AX46;AX85;AX86,AX74;AX77
CQ14,true,false,2,7,0.2857,AX53;AX54,AX7;AX28;AX69;AX70;AX74
CQ15,true,false,3,5,0.6000,AX25;AX53;AX54,AX26;AX74
CQ16,true,false,1,7,0.1429,AX25,AX26;AX51;AX52;AX69;AX70;AX74
CQ17,true,false,4,9,0.4444,AX38;AX39;AX53;AX54,AX40;AX41;AX51;AX52;AX74
CQ19,true,false,2,5,0.4000,AX2;AX3,AX51;AX52;AX74
CQ21,true,false,1,2,0.5000,AX44,AX74
CQ22,true,false,9,19,0.4737,AX1;AX24;AX25;AX38;AX39;AX48;AX53;AX54;AX72,AX26;AX40;AX41;AX51;AX52;AX63;AX64;AX65;AX66;AX74
CQ23,true,false,9,22,0.4091,AX24;AX25;AX38;AX39;AX48;AX53;AX54;AX81;AX83,AX26;AX40;AX41;AX51;AX52;AX63;AX64;AX65;AX66;AX70;AX74;AX80;AX82
CQ26,true,false,1,5,0.2000,AX12,AX47;AX51;AX52;AX74
CQ29,true,false,5,11,0.4545,AX25;AX44;AX48;AX53;AX54,AX26;AX51;AX52;AX57;AX58;AX74
CQ30,true,false,3,8,0.3750,AX35;AX36;AX59,AX37;AX55;AX56;AX60;AX74
CQ32,false,false,0,3,0.0000,,AX55;AX56;AX74
CQ36,true,false,1,4,0.2500,AX67,AX74;AX75;AX76
CQ37,true,false,2,4,0.5000,AX36;AX59,AX60;AX74
CQ38,true,false,1,4,0.2500,AX67,AX74;AX75;AX76
CQ40,true,false,2,6,0.3333,AX35;AX36,AX37;AX55;AX56;AX74
CQ45,true,false,2,3,0.6667,AX49;AX50,AX74
CQ46,true,false,4,6,0.6667,AX4;AX8;AX31;AX32,AX9;AX74
CQ54,false,false,0,3,0.0000,,AX57;AX58;AX74
CQ55,true,false,2,7,0.2857,AX29;AX84,AX42;AX43;AX57;AX58;AX74
CQ57,true,false,2,5,0.4000,AX49;AX50,AX57;AX58;AX74
CQ58,true,false,3,10,0.3000,AX12;AX18;AX67,AX13;AX14;AX15;AX47;AX74;AX75;AX76
CQ59,true,false,1,4,0.2500,AX71,AX14;AX47;AX74
CQ60,true,false,2,7,0.2857,AX12;AX18,AX13;AX14;AX15;AX47;AX74
CQ65,true,false,2,7,0.2857,AX12;AX18,AX13;AX14;AX15;AX47;AX74
CQ68,true,false,3,9,0.3333,AX5;AX10;AX71,AX6;AX11;AX17;AX30;AX47;AX74
CQ73,true,false,3,5,0.6000,AX33;AX34;AX59,AX60;AX74
CQ84,true,false,1,5,0.2000,AX39,AX26;AX68;AX73;AX74
CQ85,false,false,0,2,0.0000,,AX74;AX79
