Gold_term,Pre_term,Method,Score
has documentation,haslocation,top3_avg(jaro_winkler+sequence_match+levenshtein),0.7368
has format specification,hasmodification,top3_avg(jaro_winkler+sequence_match+levenshtein),0.7144
has input,hasinput,hard_match,1.0000
has interface,hasinputformat,top3_avg(jaro_winkler+sequence_match+semantic),0.6873
has license,haslicense,hard_match,1.0000
has output,hasoutputformat,top3_avg(jaro_winkler+semantic+sequence_match),0.8227
has release date,releasedate,top3_avg(semantic+sequence_match+jaro_winkler),0.8609
has specified data input,hasvalidinput,top3_avg(semantic+jaro_winkler+sequence_match),0.6735
has specified data output,hasdataexport,top3_avg(jaro_winkler+semantic+sequence_match),0.6753
has support url,supports,top3_avg(semantic+jaro_winkler+sequence_match),0.7392
has version,hasversion,hard_match,1.0000
has website homepage,hashomepage,top3_avg(jaro_winkler+sequence_match+semantic),0.7697
is developed by,developedby,top3_avg(jaro_winkler+semantic+sequence_match),0.9284
uses software,uses,top3_avg(jaro_winkler+semantic+sequence_match),0.6768
