side,dimension,sub,sup,status,raw_pred_sub,raw_pred_sup
gold,class,AcceptabilityProperty,WaterProperty,FN,,
gold,class,Actuator,Device,TP,,
gold,class,ChemicalProperty,WaterProperty,FN,,
gold,class,Meter,Device,FN,,
gold,class,Meter,Sensor,FN,,
gold,class,Point,Geometry,FN,,
gold,class,Sensor,Device,TP,,
gold,class,TimeBasedTariff,Tariff,FN,,
gold,class,Water,FeatureOfInterest,FN,,
gold,class,WaterAsset,FeatureOfInterest,FN,,
gold,class,WaterMeter,Device,FN,,
gold,class,WaterMeter,Meter,FN,,
gold,class,WaterMeter,Sensor,FN,,
