role,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
property,has input,hasinput,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9022; sequence_match=1.0000,True,1.0000,True,selected
property,has version,hasversion,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.9590; sequence_match=1.0000,True,1.0000,True,selected
property,has release date,hasreleasedate,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=0.8855; sequence_match=1.0000,True,1.0000,True,selected
property,is developed by,developedby,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9487; levenshtein=0.8462; semantic=0.9198; sequence_match=0.9167,False,0.9284,True,selected
property,has output,hasoutputformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9200; levenshtein=0.6000; semantic=0.7980; sequence_match=0.7500,False,0.8227,True,selected
property,has website homepage,hashomepage,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8244; levenshtein=0.6111; semantic=0.7260; sequence_match=0.7586,False,0.7697,True,selected
property,has format specification,hasformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8818; levenshtein=0.4091; semantic=0.8035; sequence_match=0.5806,False,0.7553,True,selected
property,has documentation,haslocation,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8446; levenshtein=0.6250; semantic=0.5298; sequence_match=0.7407,False,0.7368,True,selected
property,uses software,hassoftwaretype,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7833; levenshtein=0.5333; semantic=0.7038; sequence_match=0.6667,False,0.7179,True,selected
property,uses platform,usesdata,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8500; levenshtein=0.5000; semantic=0.6378; sequence_match=0.6000,False,0.6959,True,selected
property,has interface,hasinputformat,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8563; levenshtein=0.5000; semantic=0.5902; sequence_match=0.6154,False,0.6873,True,selected
property,has specified data output,hasdataexport,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8050; levenshtein=0.3636; semantic=0.7067; sequence_match=0.5143,False,0.6753,True,selected
property,has support url,hasurl,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8175; levenshtein=0.4615; semantic=0.5529; sequence_match=0.6316,False,0.6673,True,selected
property,has specified data input,hasmodification,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8339; levenshtein=0.4286; semantic=0.5439; sequence_match=0.5556,False,0.6445,True,selected
property,has output,outputs,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8413; levenshtein=0.5556; semantic=0.8712; sequence_match=0.7500,False,0.8208,False,gold already mapped to 'hasoutputformat'
property,has input,hasinputformat,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9143; levenshtein=0.5714; semantic=0.7311; sequence_match=0.7273,False,0.7909,False,gold already mapped to 'hasinput'
property,has output,hasinput,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8250; levenshtein=0.6667; semantic=0.7212; sequence_match=0.7059,False,0.7507,False,gold already mapped to 'hasoutputformat'
property,is developed by,develops,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8045; levenshtein=0.5385; semantic=0.7540; sequence_match=0.6667,False,0.7417,False,gold already mapped to 'developedby'
property,has download location,haslocation,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8169; levenshtein=0.5789; semantic=0.6566; sequence_match=0.7333,False,0.7356,False,pred already taken by 'has documentation' (higher averaged score)
property,has format specification,hasmodification,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8496; levenshtein=0.5909; semantic=0.5128; sequence_match=0.7027,False,0.7144,False,gold already mapped to 'hasformat'
property,has interface,hasinput,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8500; levenshtein=0.4167; semantic=0.6841; sequence_match=0.6000,False,0.7114,False,pred already taken by 'has input' (higher averaged score)
property,has documentation,hasmodification,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8172; levenshtein=0.5625; semantic=0.5705; sequence_match=0.6452,False,0.6776,False,gold already mapped to 'haslocation'
property,uses software,uses,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8667; levenshtein=0.3333; semantic=0.6637; sequence_match=0.5000,False,0.6768,False,gold already mapped to 'hassoftwaretype'
property,uses platform,uses,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8667; levenshtein=0.3333; semantic=0.6451; sequence_match=0.5000,False,0.6706,False,gold already mapped to 'usesdata'
