prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has achievement,has achievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has item,has item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has playing area,has playing area,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,plays game,plays game,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,owns achievement,obtains achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8490; levenshtein=0.7778; semantic=0.8541; sequence_match=0.8485,False,0.8506,True,selected
ObjectProperty,has game genre,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9083; levenshtein=0.6667; semantic=0.8370; sequence_match=0.8000,False,0.8484,True,selected
ObjectProperty,is friend with player,is friend of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8489; levenshtein=0.4444; semantic=0.7463; sequence_match=0.5714,False,0.7222,True,selected
ObjectProperty,is achievement in game,has achievement type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7509; levenshtein=0.6316; semantic=0.6515; sequence_match=0.7027,False,0.7017,True,selected
ObjectProperty,has achievement,has achievement type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9556; levenshtein=0.7778; semantic=0.7933; sequence_match=0.8750,False,0.8746,False,gold already mapped to 'has achievement'
ObjectProperty,owns achievement,has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8579; levenshtein=0.8000; semantic=0.8760; sequence_match=0.8276,False,0.8538,False,pred already taken by 'has achievement'
ObjectProperty,has achievement,obtains achievement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7554; levenshtein=0.7222; semantic=0.8737; sequence_match=0.8125,False,0.8139,False,gold already mapped to 'has achievement'
ObjectProperty,has playing area,playing area of,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7258; levenshtein=0.6429; semantic=0.8731; sequence_match=0.8148,False,0.8046,False,gold already mapped to 'has playing area'
ObjectProperty,has playing area,has player game,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8900; levenshtein=0.7143; semantic=0.6920; sequence_match=0.7407,False,0.7817,False,gold already mapped to 'has playing area'
ObjectProperty,plays game,has player game,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7493; levenshtein=0.6154; semantic=0.8483; sequence_match=0.7273,False,0.7749,False,gold already mapped to 'plays game'
ObjectProperty,is achievement in game,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7740; levenshtein=0.5789; semantic=0.7680; sequence_match=0.7273,False,0.7564,False,pred already taken by 'has achievement'
ObjectProperty,owns item,has item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7798; levenshtein=0.6250; semantic=0.7878; sequence_match=0.6667,False,0.7448,False,pred already taken by 'has item'
ObjectProperty,has achievement,achievement type of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7806; levenshtein=0.4706; semantic=0.7429; sequence_match=0.7097,False,0.7444,False,gold already mapped to 'has achievement'
ObjectProperty,owns achievement,has achievement type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.7944; levenshtein=0.6111; semantic=0.7089; sequence_match=0.7273,False,0.7435,False,gold already mapped to 'obtains achievement'
ObjectProperty,plays game,last played game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7328; levenshtein=0.5714; semantic=0.6996; sequence_match=0.6957,False,0.7094,False,gold already mapped to 'plays game'
ObjectProperty,plays game,playing area of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8632; levenshtein=0.5385; semantic=0.6163; sequence_match=0.6364,False,0.7053,False,gold already mapped to 'plays game'
ObjectProperty,has feature,has genre,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8483; levenshtein=0.6000; semantic=0.5514; sequence_match=0.6667,False,0.705,False,pred already taken by 'has game genre'
ObjectProperty,is achievement in game,obtains achievement,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6715; levenshtein=0.4211; semantic=0.7239; sequence_match=0.7027,False,0.6994,False,top-3 avg score 0.6994 < final_threshold 0.7
ObjectProperty,has game genre,has player game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8033; levenshtein=0.4615; semantic=0.7311; sequence_match=0.5600,False,0.6981,False,top-3 avg score 0.6981 < final_threshold 0.7
ObjectProperty,involves player,for player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6640; levenshtein=0.5000; semantic=0.8127; sequence_match=0.6087,False,0.6951,False,top-3 avg score 0.6951 < final_threshold 0.7
ObjectProperty,has playing area,has player game per game,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8581; levenshtein=0.5500; semantic=0.4565; sequence_match=0.6471,False,0.6851,False,top-3 avg score 0.6851 < final_threshold 0.7
ObjectProperty,has achievement,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6448; sequence_match=0.5714,False,0.6832,False,top-3 avg score 0.6832 < final_threshold 0.7
ObjectProperty,has item,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6448; sequence_match=0.5714,False,0.6832,False,top-3 avg score 0.6832 < final_threshold 0.7
ObjectProperty,has item,has friend,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8296; levenshtein=0.4444; semantic=0.5748; sequence_match=0.6250,False,0.6765,False,top-3 avg score 0.6765 < final_threshold 0.7
ObjectProperty,has achievement,has equipment,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8065; levenshtein=0.5714; semantic=0.5953; sequence_match=0.6154,False,0.6724,False,top-3 avg score 0.6724 < final_threshold 0.7
ObjectProperty,owns item,owned by,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6905; levenshtein=0.3750; semantic=0.7823; sequence_match=0.5333,False,0.6687,False,top-3 avg score 0.6687 < final_threshold 0.7
