prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,constraint,has Constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8231; levenshtein=0.7692; semantic=0.9340; sequence_match=0.8696,False,0.8755,True,selected
ObjectProperty,operand,has Operand,semantic+sequence_match+jaro_winkler,jaro_winkler=0.8048; levenshtein=0.7000; semantic=0.9169; sequence_match=0.8235,False,0.8484,True,selected
ObjectProperty,assigner,assigned Party,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9231; levenshtein=0.6154; semantic=0.6837; sequence_match=0.7619,False,0.7896,True,selected
ObjectProperty,remedy,is Remedy For,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8485; levenshtein=0.5455; semantic=0.7881; sequence_match=0.7059,False,0.7808,True,selected
ObjectProperty,assignee,has Assignment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8045; levenshtein=0.5385; semantic=0.7332; sequence_match=0.6667,False,0.7348,True,selected
ObjectProperty,andSequence,has Sequence Step,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8061; levenshtein=0.5333; semantic=0.6983; sequence_match=0.6923,False,0.7322,True,selected
ObjectProperty,constraint,operand Constraint,semantic+sequence_match+jaro_winkler,jaro_winkler=0.7294; levenshtein=0.5882; semantic=0.8799; sequence_match=0.7407,False,0.7833,False,gold already mapped to 'has Constraint'
ObjectProperty,constraint,is Constrained By,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7593; levenshtein=0.6000; semantic=0.8531; sequence_match=0.7200,False,0.7775,False,gold already mapped to 'has Constraint'
ObjectProperty,assignee,assigned Party,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8827; levenshtein=0.5385; semantic=0.7630; sequence_match=0.6667,False,0.7708,False,pred already taken by 'assigner'
ObjectProperty,operand,operand Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8824; levenshtein=0.4118; semantic=0.7997; sequence_match=0.5833,False,0.7551,False,gold already mapped to 'has Operand'
ObjectProperty,leftOperand,has Operand,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7312; levenshtein=0.6364; semantic=0.8445; sequence_match=0.6667,False,0.7474,False,pred already taken by 'operand'
ObjectProperty,assigner,has Assignment,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8045; levenshtein=0.5385; semantic=0.6931; sequence_match=0.6667,False,0.7214,False,gold already mapped to 'assigned Party'
ObjectProperty,constraint,contained Item,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8636; levenshtein=0.4615; semantic=0.5815; sequence_match=0.6957,False,0.7136,False,gold already mapped to 'has Constraint'
ObjectProperty,operator,operand Constraint,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8691; levenshtein=0.4118; semantic=0.6465; sequence_match=0.5600,False,0.6919,False,top-3 avg score 0.6919 < final_threshold 0.7
ObjectProperty,hasPolicy,is Linked To Policy,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6432; levenshtein=0.3750; semantic=0.7543; sequence_match=0.5600,False,0.6525,False,top-3 avg score 0.6525 < final_threshold 0.7
ObjectProperty,conflict,has Conflict Resolution Strategy,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7586; levenshtein=0.2759; semantic=0.7470; sequence_match=0.4324,False,0.646,False,top-3 avg score 0.6460 < final_threshold 0.7
ObjectProperty,operator,has Operand,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5750; levenshtein=0.4000; semantic=0.7761; sequence_match=0.5556,False,0.6355,False,top-3 avg score 0.6355 < final_threshold 0.7
