side,dimension,sub,sup,status,raw_pred_sub,raw_pred_sup
gold,class,AssetCollection,Asset,FN,,
gold,class,Duty,Rule,FN,,
gold,class,Permission,Rule,FN,,
gold,class,Prohibition,Rule,FN,,
pred,class,Action,Constraint,FP,,
pred,class,LogicalConstraint,Constraint,FP,,
pred,class,Permission,Duty,FP,,
pred,class,Prohibition,Duty,FP,,
pred,class,Prohibition,Permission,FP,,
pred,class,,,untranslated,Aggregation,RightDuty
pred,class,,,untranslated,Aggregation,TransferRight
pred,class,,,untranslated,AndConstraint,CompositeConstraint
pred,class,,,untranslated,AndConstraint,Constraint
pred,class,,,untranslated,CompositeConstraint,Constraint
pred,class,,,untranslated,Disaggregation,RightDuty
pred,class,,,untranslated,Disaggregation,TransferRight
pred,class,,,untranslated,ExclusivePermission,PermissionDuty
pred,class,,,untranslated,ExclusivePermission,RightDuty
pred,class,,,untranslated,GroupingCapability,Feature
pred,class,,,untranslated,Inheritance,Feature
pred,class,,,untranslated,OrConstraint,CompositeConstraint
pred,class,,,untranslated,Remedy,PermissionDuty
pred,class,,,untranslated,Remedy,RightDuty
pred,class,,,untranslated,Requirement,PermissionDuty
pred,class,,,untranslated,Requirement,RightDuty
pred,class,,,untranslated,Sequencing,Feature
pred,class,,,untranslated,TransferRight,RightDuty
pred,class,,,untranslated,XorConstraint,CompositeConstraint
pred,class,,,untranslated,XorConstraint,Constraint
gold,property,and,operand,FN,,
gold,property,andSequence,operand,FN,,
gold,property,assignee,function,FN,,
gold,property,assigner,function,FN,,
gold,property,consequence,failure,FN,,
gold,property,or,operand,FN,,
gold,property,remedy,failure,FN,,
gold,property,target,relation,FN,,
gold,property,xone,operand,FN,,
