prop_type,gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
ObjectProperty,has achievement,has achievement,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has item,has item,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has playing area,has playing area,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,plays game,plays game,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
ObjectProperty,has game genre,has genre,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9083; levenshtein=0.6667; semantic=0.8370; sequence_match=0.8000,False,0.8484,True,selected
ObjectProperty,is achievement in game,is achievement of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9102; levenshtein=0.6842; semantic=0.7756; sequence_match=0.7647,False,0.8168,True,selected
ObjectProperty,purchases game offering,purchase for game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9029; levenshtein=0.4762; semantic=0.7960; sequence_match=0.6667,False,0.7885,True,selected
ObjectProperty,is player in session,is player in stat,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8866; levenshtein=0.6471; semantic=0.6114; sequence_match=0.7097,False,0.7478,True,selected
ObjectProperty,owns item,is item of,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7500; levenshtein=0.3750; semantic=0.7299; sequence_match=0.6250,False,0.7016,True,selected
ObjectProperty,owns achievement,has achievement,semantic+jaro_winkler+sequence_match,jaro_winkler=0.8579; levenshtein=0.8000; semantic=0.8760; sequence_match=0.8276,False,0.8538,False,pred already taken by 'has achievement'
ObjectProperty,has achievement,is achievement of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8302; levenshtein=0.7333; semantic=0.7937; sequence_match=0.8276,False,0.8172,False,gold already mapped to 'has achievement'
ObjectProperty,has game genre,has game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9167; levenshtein=0.5833; semantic=0.7788; sequence_match=0.7368,False,0.8108,False,gold already mapped to 'has genre'
ObjectProperty,owns achievement,is achievement of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8667; levenshtein=0.6667; semantic=0.7370; sequence_match=0.8000,False,0.8012,False,pred already taken by 'is achievement in game'
ObjectProperty,plays game,has game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8413; levenshtein=0.6667; semantic=0.8098; sequence_match=0.7500,False,0.8003,False,gold already mapped to 'plays game'
ObjectProperty,has playing area,is playing area of,sequence_match+semantic+levenshtein,jaro_winkler=0.7190; levenshtein=0.7333; semantic=0.7507; sequence_match=0.8276,False,0.7705,False,gold already mapped to 'has playing area'
ObjectProperty,is achievement in game,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7740; levenshtein=0.5789; semantic=0.7680; sequence_match=0.7273,False,0.7564,False,gold already mapped to 'is achievement of'
ObjectProperty,owns item,has item,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7798; levenshtein=0.6250; semantic=0.7878; sequence_match=0.6667,False,0.7448,False,pred already taken by 'has item'
ObjectProperty,has item,has type,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8667; levenshtein=0.4286; semantic=0.6372; sequence_match=0.7143,False,0.7394,False,gold already mapped to 'has item'
ObjectProperty,has playing area,has player,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9063; levenshtein=0.5714; semantic=0.6160; sequence_match=0.6957,False,0.7393,False,gold already mapped to 'has playing area'
ObjectProperty,has item,has usable item,semantic+sequence_match+jaro_winkler,jaro_winkler=0.6264; levenshtein=0.5385; semantic=0.8146; sequence_match=0.7000,False,0.7137,False,gold already mapped to 'has item'
ObjectProperty,has item,is item of,semantic+jaro_winkler+sequence_match,jaro_winkler=0.7131; levenshtein=0.5000; semantic=0.7447; sequence_match=0.6667,False,0.7081,False,gold already mapped to 'has item'
ObjectProperty,has feature,has genre,jaro_winkler+sequence_match+levenshtein,jaro_winkler=0.8483; levenshtein=0.6000; semantic=0.5514; sequence_match=0.6667,False,0.705,False,pred already taken by 'has game genre'
ObjectProperty,has achievement,has game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7944; levenshtein=0.3571; semantic=0.6934; sequence_match=0.5714,False,0.6864,False,top-3 avg score 0.6864 < final_threshold 0.7
ObjectProperty,has item,has game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8200; levenshtein=0.4286; semantic=0.6641; sequence_match=0.5714,False,0.6852,False,top-3 avg score 0.6852 < final_threshold 0.7
ObjectProperty,has achievement,has item,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6448; sequence_match=0.5714,False,0.6832,False,top-3 avg score 0.6832 < final_threshold 0.7
ObjectProperty,has item,has achievement,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8333; levenshtein=0.4286; semantic=0.6448; sequence_match=0.5714,False,0.6832,False,top-3 avg score 0.6832 < final_threshold 0.7
ObjectProperty,has item,has friend,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8296; levenshtein=0.4444; semantic=0.5748; sequence_match=0.6250,False,0.6765,False,top-3 avg score 0.6765 < final_threshold 0.7
ObjectProperty,has playing area,has game,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7944; levenshtein=0.4286; semantic=0.6610; sequence_match=0.5714,False,0.6756,False,top-3 avg score 0.6756 < final_threshold 0.7
ObjectProperty,involves player,has player,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6164; levenshtein=0.5000; semantic=0.7950; sequence_match=0.6087,False,0.6734,False,top-3 avg score 0.6734 < final_threshold 0.7
ObjectProperty,is player in session,is playing area of,jaro_winkler+sequence_match+semantic,jaro_winkler=0.8397; levenshtein=0.5294; semantic=0.5515; sequence_match=0.6250,False,0.6721,False,top-3 avg score 0.6721 < final_threshold 0.7
