id,source,term_type,axiom_type,term,dl,status,note
AX1-gold,gold,Class,SubClassOf,AcceptabilityProperty,AcceptabilityProperty ⊑ WaterProperty,Skip,subject 'AcceptabilityProperty' not in alignment table
AX1-pred,pred,-,-,-,(subject not in alignment table),-,-
AX2-gold,gold,Class,DisjointClasses,Actuator,"DisjointClasses(Actuator, Sensor)",FN,pred has no DisjointClasses axiom on 'Actuator'
AX2-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX3-gold,gold,Class,SubClassOf,Actuator,Actuator ⊑ Device,FN,pred has no SubClassOf axiom on 'Actuator'
AX3-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX4-gold,gold,Class,SubClassOf,ChemicalProperty,ChemicalProperty ⊑ WaterProperty,FN,pred has no SubClassOf axiom on 'Chemical Property'
AX4-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX5-gold,gold,Class,SubClassOf,Device,Device ⊑ ∀makesMeasurement.Measurement,FN,pred has no SubClassOf axiom on 'Device'
AX5-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX6-gold,gold,Class,SubClassOf,FeatureOfInterest,FeatureOfInterest ⊑ ∀hasMeasurement.Measurement,Skip,subject 'FeatureOfInterest' not in alignment table
AX6-pred,pred,-,-,-,(subject not in alignment table),-,-
AX7-gold,gold,Class,SubClassOf,Measurement,Measurement ⊑ ∀hasTimestamp.datetime'>,FN,pred has no SubClassOf axiom on 'Measurement'
AX7-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX8-gold,gold,Class,SubClassOf,Meter,Meter ⊑ Sensor,Skip,subject 'Meter' not in alignment table
AX8-pred,pred,-,-,-,(subject not in alignment table),-,-
AX9-gold,gold,Class,SubClassOf,Point,Point ⊑ Geometry,Skip,subject 'Point' not in alignment table
AX9-pred,pred,-,-,-,(subject not in alignment table),-,-
AX10-gold,gold,Class,SubClassOf,Sensor,Sensor ⊑ Device,FN,pred has no SubClassOf axiom on 'Sensor'
AX10-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX11-gold,gold,Class,SubClassOf,TimeBasedTariff,TimeBasedTariff ⊑ Tariff,Skip,subject 'TimeBasedTariff' not in alignment table
AX11-pred,pred,-,-,-,(subject not in alignment table),-,-
AX12-gold,gold,Class,SubClassOf,Water,Water ⊑ FeatureOfInterest,FN,pred has no SubClassOf axiom on 'Water'
AX12-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX13-gold,gold,Class,SubClassOf,Water,Water ⊑ ∀hasProperty.WaterProperty,FN,pred has no SubClassOf axiom on 'Water'
AX13-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX14-gold,gold,Class,SubClassOf,WaterAsset,WaterAsset ⊑ FeatureOfInterest,FN,pred has no SubClassOf axiom on 'Asset'
AX14-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX15-gold,gold,Class,SubClassOf,WaterMeter,WaterMeter ⊑ Meter,Mismatch,pred AX15 differs: class 'Meter' not aligned to 'Device'
AX15-pred,pred,Class,SubClassOf,Water Meter,Water Meter ⊑ Device,-,-
AX16-gold,gold,Class,SubClassOf,WaterMeter,WaterMeter ⊑ ≤1 hasFabricationNumber.⊤,Mismatch,pred AX16 differs: expr_type ObjectMaxCardinality vs Class
AX16-pred,pred,Class,SubClassOf,Water Meter,Water Meter ⊑ Sensor,-,-
AX17-gold,gold,Class,SubClassOf,WaterMeter,WaterMeter ⊑ ≤1 hasFirmwareVersion.⊤,Mismatch,pred AX17 differs: expr_type ObjectMaxCardinality vs Class
AX17-pred,pred,Class,SubClassOf,Water Meter,Water Meter ⊑ Asset,-,-
AX18-gold,gold,Class,SubClassOf,WaterMeter,WaterMeter ⊑ ≤1 hasHardwareVersion.⊤,FN,pred has no SubClassOf axiom on 'Water Meter'
AX18-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX19-gold,gold,Class,SubClassOf,WaterMeter,WaterMeter ⊑ ≤1 hasVersion.⊤,FN,pred has no SubClassOf axiom on 'Water Meter'
AX19-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX20-gold,gold,ObjectProperty,Domain,appliesTo,∃appliesTo.⊤ ⊑ Tariff,Skip,subject 'appliesTo' not in alignment table
AX20-pred,pred,-,-,-,(subject not in alignment table),-,-
AX21-gold,gold,ObjectProperty,Range,appliesTo,⊤ ⊑ ∀appliesTo.WaterMeter,Skip,subject 'appliesTo' not in alignment table
AX21-pred,pred,-,-,-,(subject not in alignment table),-,-
AX22-gold,gold,ObjectProperty,Domain,featureIsMeasuredByDevice,∃featureIsMeasuredByDevice.⊤ ⊑ FeatureOfInterest,Skip,subject 'featureIsMeasuredByDevice' not in alignment table
AX22-pred,pred,-,-,-,(subject not in alignment table),-,-
AX23-gold,gold,ObjectProperty,Range,featureIsMeasuredByDevice,⊤ ⊑ ∀featureIsMeasuredByDevice.Device,Skip,subject 'featureIsMeasuredByDevice' not in alignment table
AX23-pred,pred,-,-,-,(subject not in alignment table),-,-
AX24-gold,gold,ObjectProperty,Domain,hasBillingPeriod,∃hasBillingPeriod.⊤ ⊑ Tariff,Skip,subject 'hasBillingPeriod' not in alignment table
AX24-pred,pred,-,-,-,(subject not in alignment table),-,-
AX25-gold,gold,ObjectProperty,Range,hasBillingPeriod,⊤ ⊑ ∀hasBillingPeriod.TemporalDuration,Skip,subject 'hasBillingPeriod' not in alignment table
AX25-pred,pred,-,-,-,(subject not in alignment table),-,-
AX26-gold,gold,ObjectProperty,Domain,hasDuration,∃hasDuration.⊤ ⊑ Tariff,Skip,subject 'hasDuration' not in alignment table
AX26-pred,pred,-,-,-,(subject not in alignment table),-,-
AX27-gold,gold,ObjectProperty,Range,hasDuration,⊤ ⊑ ∀hasDuration.TemporalDuration,Skip,subject 'hasDuration' not in alignment table
AX27-pred,pred,-,-,-,(subject not in alignment table),-,-
AX28-gold,gold,ObjectProperty,InverseOf,hasKPI,hasKPI ≡ isKPIOf⁻,Skip,subject 'hasKPI' not in alignment table
AX28-pred,pred,-,-,-,(subject not in alignment table),-,-
AX29-gold,gold,ObjectProperty,Domain,hasPeriod,∃hasPeriod.⊤ ⊑ Tariff,Skip,subject 'hasPeriod' not in alignment table
AX29-pred,pred,-,-,-,(subject not in alignment table),-,-
AX30-gold,gold,ObjectProperty,Range,hasPeriod,⊤ ⊑ ∀hasPeriod.TemporalDuration,Skip,subject 'hasPeriod' not in alignment table
AX30-pred,pred,-,-,-,(subject not in alignment table),-,-
AX31-gold,gold,ObjectProperty,Domain,hasPhenomenonTime,∃hasPhenomenonTime.⊤ ⊑ Measurement,Skip,subject 'hasPhenomenonTime' not in alignment table
AX31-pred,pred,-,-,-,(subject not in alignment table),-,-
AX32-gold,gold,ObjectProperty,Range,hasPhenomenonTime,⊤ ⊑ ∀hasPhenomenonTime.TemporalEntity,Skip,subject 'hasPhenomenonTime' not in alignment table
AX32-pred,pred,-,-,-,(subject not in alignment table),-,-
AX33-gold,gold,ObjectProperty,InverseOf,isKPIOf,isKPIOf ≡ hasKPI⁻,Skip,subject 'isKPIOf' not in alignment table
AX33-pred,pred,-,-,-,(subject not in alignment table),-,-
AX34-gold,gold,ObjectProperty,InverseOf,makesMeasurement,makesMeasurement ≡ measurementMadeBy⁻,Skip,subject 'makesMeasurement' not in alignment table
AX34-pred,pred,-,-,-,(subject not in alignment table),-,-
AX35-gold,gold,ObjectProperty,InverseOf,measurementMadeBy,measurementMadeBy ≡ makesMeasurement⁻,FN,pred has no InverseOf axiom on 'measures'
AX35-pred,pred,-,-,-,(no pred axiom on aligned subject),-,-
AX36-gold,gold,DatatypeProperty,Domain,hasBillingDate,∃hasBillingDate.⊤ ⊑ Tariff,Skip,subject 'hasBillingDate' not in alignment table
AX36-pred,pred,-,-,-,(subject not in alignment table),-,-
AX37-gold,gold,DatatypeProperty,Range,hasBillingDate,hasBillingDate maps-to datetime'>,Skip,subject 'hasBillingDate' not in alignment table
AX37-pred,pred,-,-,-,(subject not in alignment table),-,-
AX38-gold,gold,DatatypeProperty,Range,hasFabricationNumber,hasFabricationNumber maps-to ⊤,TP,matched pred AX60
AX38-pred,pred,DatatypeProperty,Range,has fabrication number,has fabrication number maps-to ⊤,-,-
AX39-gold,gold,DatatypeProperty,Range,hasFirmwareVersion,hasFirmwareVersion maps-to ⊤,TP,matched pred AX64
