gold_term,pred_term,top_methods_used,scores_by_method,is_hard_match,agg_score,selected,reason
Omnivore,Omnivore,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
animal,Animal,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
carnivore,Carnivore,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
herbivore,Herbivore,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
plant,Plant,hard_match,hard_match=1.0000; jaro_winkler=1.0000; levenshtein=1.0000; semantic=1.0000; sequence_match=1.0000,True,1.0,True,selected
PlantParts,Plant Part,jaro_winkler+sequence_match+semantic,jaro_winkler=0.9800; levenshtein=0.9000; semantic=0.9267; sequence_match=0.9474,False,0.9514,True,selected
plant,Plant Part,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9111; levenshtein=0.5556; semantic=0.7972; sequence_match=0.7143,False,0.8075,False,gold already mapped to 'Plant'
PlantParts,Plant,jaro_winkler+semantic+sequence_match,jaro_winkler=0.9000; levenshtein=0.5000; semantic=0.7594; sequence_match=0.6667,False,0.7753,False,gold already mapped to 'Plant Part'
CarnivorousPlant,Carnivore,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8778; levenshtein=0.5000; semantic=0.7676; sequence_match=0.6400,False,0.7618,False,pred already taken by 'carnivore' (higher averaged score)
Omnivore,Carnivore,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8056; levenshtein=0.6667; semantic=0.7698; sequence_match=0.7059,False,0.7604,False,gold already mapped to 'Omnivore'
carnivore,Omnivore,jaro_winkler+semantic+sequence_match,jaro_winkler=0.8056; levenshtein=0.6667; semantic=0.7698; sequence_match=0.7059,False,0.7604,False,gold already mapped to 'Carnivore'
carnivore,Herbivore,semantic+jaro_winkler+levenshtein,jaro_winkler=0.7778; levenshtein=0.6667; semantic=0.8346; sequence_match=0.6667,False,0.7597,False,gold already mapped to 'Carnivore'
herbivore,Carnivore,semantic+jaro_winkler+levenshtein,jaro_winkler=0.7778; levenshtein=0.6667; semantic=0.8346; sequence_match=0.6667,False,0.7597,False,gold already mapped to 'Herbivore'
Omnivore,Herbivore,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7269; levenshtein=0.5556; semantic=0.6742; sequence_match=0.5882,False,0.6631,False,gold already mapped to 'Omnivore'
herbivore,Omnivore,jaro_winkler+semantic+sequence_match,jaro_winkler=0.7269; levenshtein=0.5556; semantic=0.6742; sequence_match=0.5882,False,0.6631,False,gold already mapped to 'Herbivore'
animal,Organism,semantic+jaro_winkler+sequence_match,jaro_winkler=0.6250; levenshtein=0.2500; semantic=0.6532; sequence_match=0.5714,False,0.6165,False,gold already mapped to 'Animal'
CarnivorousPlant,Plant,semantic+jaro_winkler+sequence_match,jaro_winkler=0.5083; levenshtein=0.3125; semantic=0.8044; sequence_match=0.4762,False,0.5963,False,top-3 avg score 0.5963 < final_threshold 0.6
