Gold_term,Pre_term,Method,Score
hasachievement,hasachievement,hard_match,1.0000
hasgamegenre,hasgenre,top3_avg(jaro_winkler+semantic+sequence_match),0.8532
hasitem,hasitem,hard_match,1.0000
hasplayingarea,hasplayingarea,hard_match,1.0000
isfriendwithplayer,hasfriend,top3_avg(semantic+jaro_winkler+sequence_match),0.6319
livesin,livesin,hard_match,1.0000
playsgame,plays,top3_avg(jaro_winkler+semantic+sequence_match),0.8253
purchasesgameoffering,haspurchasetime,top3_avg(jaro_winkler+semantic+sequence_match),0.6127
releasedate,releasedate,hard_match,1.0000
username,hasusername,top3_avg(semantic+sequence_match+jaro_winkler),0.8581
