Gold_term,Pre_term,Method,Score
release date,has release date,top3_avg(jaro_winkler+semantic+sequence_match),0.8759
username,has username,top3_avg(jaro_winkler+semantic+sequence_match),0.8593
has achievement,has achievement,hard_match,1.0
has game genre,has genre,top3_avg(jaro_winkler+semantic+sequence_match),0.8484
has item,has item,hard_match,1.0
has playing area,has playing area,hard_match,1.0
involves player,uses player,top3_avg(jaro_winkler+semantic+sequence_match),0.7236
is achievement in game,game has achievement,top3_avg(jaro_winkler+semantic+sequence_match),0.7489
is session in game,session for game,top3_avg(jaro_winkler+semantic+sequence_match),0.7938
owns item,owns item,hard_match,1.0
plays game,plays game,hard_match,1.0
purchases game offering,purchases game,top3_avg(jaro_winkler+semantic+sequence_match),0.8415
